# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-06T05:50:00Z,23.00,79.00
2026-04-06T05:52:00Z,23.00,79.00
2026-04-06T05:53:00Z,23.00,79.00
2026-04-06T05:54:00Z,23.00,79.00
2026-04-06T05:55:00Z,23.00,79.00
2026-04-06T05:56:00Z,23.00,79.00
2026-04-06T05:58:00Z,23.00,79.50
2026-04-06T05:59:00Z,23.00,80.00
2026-04-06T06:02:00Z,23.00,79.83
2026-04-06T06:03:00Z,23.00,80.00
2026-04-06T06:04:00Z,23.00,80.00
2026-04-06T06:05:00Z,23.00,79.16
2026-04-06T06:06:00Z,22.00,80.00
2026-04-06T06:07:00Z,22.00,80.00
2026-04-06T06:08:00Z,22.00,80.00
2026-04-06T06:11:00Z,23.00,80.00
2026-04-06T06:14:00Z,23.00,79.00
2026-04-06T06:18:00Z,22.00,79.00
2026-04-06T06:19:00Z,22.00,80.00
2026-04-06T06:21:00Z,22.00,80.13
2026-04-06T06:22:00Z,22.00,80.00
2026-04-06T06:23:00Z,22.00,81.00
2026-04-06T06:24:00Z,22.00,80.00
2026-04-06T06:25:00Z,21.00,80.00
2026-04-06T06:26:00Z,21.00,80.00
2026-04-06T06:28:00Z,21.00,81.00
2026-04-06T06:31:00Z,21.00,81.00
2026-04-06T06:36:00Z,21.00,81.00
2026-04-06T06:37:00Z,21.00,81.00
2026-04-06T06:39:00Z,21.00,81.00
2026-04-06T06:42:00Z,20.00,81.00
2026-04-06T06:43:00Z,20.00,81.00
2026-04-06T06:44:00Z,21.00,81.00
2026-04-06T06:45:00Z,21.00,81.00
2026-04-06T06:47:00Z,21.00,81.00
2026-04-06T06:48:00Z,21.00,81.00
2026-04-06T06:49:00Z,21.00,81.00
2026-04-06T06:50:00Z,21.00,81.00
