# event_ticker=KXATPMATCH-26MAY20COMMUN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Jaume Munar
# fav_player=Francisco Comesana
# dog_player=Jaume Munar
# kalshi_date=2026-05-20
timestamp,Francisco Comesana,Jaume Munar
2026-05-20T11:18:00Z,42.00,59.39
2026-05-20T11:19:00Z,43.19,59.39
2026-05-20T11:20:00Z,46.78,59.39
2026-05-20T11:21:00Z,46.78,52.99
2026-05-20T11:22:00Z,46.78,53.13
2026-05-20T11:23:00Z,46.78,55.61
2026-05-20T11:24:00Z,46.78,55.00
2026-05-20T11:26:00Z,46.00,55.06
2026-05-20T11:27:00Z,48.00,52.56
2026-05-20T11:28:00Z,48.00,51.00
2026-05-20T11:29:00Z,48.00,52.00
2026-05-20T11:30:00Z,48.00,54.71
2026-05-20T11:31:00Z,45.00,55.81
2026-05-20T11:32:00Z,45.00,56.11
2026-05-20T11:33:00Z,45.00,59.07
2026-05-20T11:34:00Z,46.57,54.03
2026-05-20T11:35:00Z,47.00,54.03
2026-05-20T11:36:00Z,47.00,52.00
2026-05-20T11:37:00Z,46.00,53.35
2026-05-20T11:38:00Z,46.00,55.09
2026-05-20T11:39:00Z,44.00,57.99
2026-05-20T11:40:00Z,43.85,56.17
2026-05-20T11:41:00Z,43.00,57.12
2026-05-20T11:42:00Z,32.17,68.36
2026-05-20T11:43:00Z,26.00,76.99
2026-05-20T11:44:00Z,23.99,76.90
2026-05-20T11:45:00Z,23.00,77.00
2026-05-20T11:46:00Z,23.00,79.00
2026-05-20T11:47:00Z,23.00,80.00
2026-05-20T11:48:00Z,23.00,79.00
2026-05-20T11:49:00Z,22.00,78.60
2026-05-20T11:50:00Z,21.03,79.00
2026-05-20T11:51:00Z,21.41,79.00
2026-05-20T11:52:00Z,21.79,78.73
2026-05-20T11:53:00Z,23.13,76.11
2026-05-20T11:54:00Z,17.95,80.97
2026-05-20T11:55:00Z,18.25,80.51
2026-05-20T11:56:00Z,22.96,79.34
2026-05-20T11:57:00Z,22.00,80.00
2026-05-20T11:58:00Z,21.00,80.64
2026-05-20T11:59:00Z,21.00,84.18
2026-05-20T12:00:00Z,11.37,88.73
2026-05-20T12:01:00Z,10.99,91.00
2026-05-20T12:02:00Z,9.25,90.00
2026-05-20T12:03:00Z,8.00,91.24
2026-05-20T12:04:00Z,8.00,92.98
2026-05-20T12:05:00Z,8.00,91.18
2026-05-20T12:06:00Z,8.91,92.00
2026-05-20T12:07:00Z,10.00,91.71
2026-05-20T12:08:00Z,10.00,91.71
2026-05-20T12:09:00Z,10.66,89.45
2026-05-20T12:10:00Z,9.00,92.98
2026-05-20T12:11:00Z,7.16,93.00
2026-05-20T12:12:00Z,6.08,92.76
2026-05-20T12:13:00Z,7.51,94.03
2026-05-20T12:14:00Z,5.01,94.99
2026-05-20T12:15:00Z,3.11,96.15
2026-05-20T12:16:00Z,2.01,97.01
2026-05-20T12:17:00Z,3.00,97.00
