# event_ticker=KXATPMATCH-26FEB22ATMDIM
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Terence Atmane
# fav_player=Grigor Dimitrov
# dog_player=Terence Atmane
# kalshi_date=2026-02-22
timestamp,Grigor Dimitrov,Terence Atmane
2026-02-25T00:54:00Z,31.51,66.13
2026-02-25T00:55:00Z,30.66,68.88
2026-02-25T00:56:00Z,33.90,68.17
2026-02-25T00:57:00Z,28.49,71.43
2026-02-25T00:58:00Z,29.49,71.61
2026-02-25T00:59:00Z,29.21,71.91
2026-02-25T01:00:00Z,28.01,71.94
2026-02-25T01:01:00Z,25.96,74.22
2026-02-25T01:02:00Z,26.58,74.53
2026-02-25T01:03:00Z,23.43,76.85
2026-02-25T01:04:00Z,26.42,76.07
2026-02-25T01:05:00Z,23.33,75.75
2026-02-25T01:06:00Z,19.23,79.29
2026-02-25T01:07:00Z,21.64,80.54
2026-02-25T01:08:00Z,10.33,89.56
2026-02-25T01:09:00Z,7.25,93.02
2026-02-25T01:10:00Z,7.03,93.25
2026-02-25T01:11:00Z,7.00,93.45
2026-02-25T01:12:00Z,6.67,93.86
2026-02-25T01:13:00Z,7.00,93.83
2026-02-25T01:14:00Z,8.01,92.95
2026-02-25T01:15:00Z,8.91,92.00
2026-02-25T01:16:00Z,10.47,91.00
2026-02-25T01:17:00Z,17.79,84.58
2026-02-25T01:18:00Z,11.71,87.98
2026-02-25T01:19:00Z,8.04,91.83
2026-02-25T01:20:00Z,5.82,93.89
2026-02-25T01:21:00Z,6.00,94.74
2026-02-25T01:22:00Z,5.02,94.95
2026-02-25T01:23:00Z,6.95,94.13
2026-02-25T01:24:00Z,7.99,93.00
2026-02-25T01:25:00Z,7.94,92.89
2026-02-25T01:26:00Z,4.02,94.69
2026-02-25T01:27:00Z,4.82,95.67
2026-02-25T01:28:00Z,3.99,96.58
2026-02-25T01:29:00Z,3.87,97.82
2026-02-25T01:30:00Z,3.49,97.00
2026-02-25T01:31:00Z,4.07,97.00
2026-02-25T01:32:00Z,3.98,96.96
2026-02-25T01:33:00Z,1.54,98.57
2026-02-25T01:34:00Z,1.54,99.00
2026-02-25T01:35:00Z,1.54,99.00
2026-02-25T01:36:00Z,1.54,99.00
2026-02-25T01:38:00Z,1.54,99.00
2026-02-25T01:39:00Z,1.54,99.00
2026-02-25T01:40:00Z,1.54,99.00
2026-02-25T01:41:00Z,1.54,99.00
2026-02-25T01:42:00Z,1.54,99.00
