# event_ticker=KXATPMATCH-26FEB16BORWON
# final_score=7-6(5) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Nuno Borges
# kalshi_date=2026-02-16
timestamp,Coleman Wong,Nuno Borges
2026-02-16T16:49:00Z,46.36,56.00
2026-02-16T16:50:00Z,46.00,56.00
2026-02-16T16:51:00Z,45.00,56.00
2026-02-16T16:52:00Z,45.00,56.00
2026-02-16T16:53:00Z,45.00,55.40
2026-02-16T16:54:00Z,45.00,56.00
2026-02-16T16:56:00Z,46.00,55.16
2026-02-16T16:57:00Z,46.00,56.00
2026-02-16T16:58:00Z,45.00,56.00
2026-02-16T16:59:00Z,45.00,55.04
2026-02-16T17:00:00Z,45.98,55.60
2026-02-16T17:01:00Z,45.00,56.71
2026-02-16T17:02:00Z,45.00,56.00
2026-02-16T17:03:00Z,45.15,56.48
2026-02-16T17:04:00Z,46.00,56.84
2026-02-16T17:05:00Z,44.50,57.00
2026-02-16T17:06:00Z,45.00,57.00
2026-02-16T17:07:00Z,45.00,56.00
2026-02-16T17:08:00Z,45.41,56.07
2026-02-16T17:09:00Z,46.00,56.77
2026-02-16T17:10:00Z,45.03,56.60
2026-02-16T17:11:00Z,46.00,56.98
2026-02-16T17:12:00Z,46.00,56.80
2026-02-16T17:13:00Z,44.00,57.00
2026-02-16T17:14:00Z,46.00,57.00
2026-02-16T17:15:00Z,46.00,57.00
2026-02-16T17:16:00Z,46.00,57.00
2026-02-16T17:17:00Z,45.00,56.52
2026-02-16T17:18:00Z,45.00,56.00
2026-02-16T17:19:00Z,45.00,56.87
2026-02-16T17:20:00Z,45.00,57.00
2026-02-16T17:21:00Z,45.00,57.00
2026-02-16T17:22:00Z,45.00,57.00
2026-02-16T17:23:00Z,45.00,57.00
2026-02-16T17:24:00Z,43.98,57.00
2026-02-16T17:25:00Z,45.00,57.00
2026-02-16T17:26:00Z,45.00,56.24
2026-02-16T17:27:00Z,44.70,57.08
2026-02-16T17:28:00Z,45.00,58.00
2026-02-16T17:29:00Z,45.00,58.00
2026-02-16T17:30:00Z,45.00,57.00
2026-02-16T17:31:00Z,43.00,57.00
2026-02-16T17:32:00Z,43.07,56.45
2026-02-16T17:33:00Z,44.00,57.00
2026-02-16T17:34:00Z,44.00,56.92
2026-02-16T17:35:00Z,44.00,57.00
2026-02-16T17:36:00Z,44.00,56.75
2026-02-16T17:37:00Z,44.05,57.00
