# event_ticker=KXATPMATCH-25JUL29BORBAG
# final_score=5-7 7-6(3) 6-2
# score_resolution=7-5 6-7 2-6
# match_winner=Nuno Borges
# fav_player=Facundo Bagnis
# dog_player=Nuno Borges
# kalshi_date=2025-07-29
timestamp,Facundo Bagnis,Nuno Borges
2025-07-29T23:05:00Z,54.00,48.50
2025-07-29T23:06:00Z,51.00,48.00
2025-07-29T23:07:00Z,51.00,47.00
2025-07-29T23:08:00Z,57.00,43.00
2025-07-29T23:09:00Z,49.00,51.00
2025-07-29T23:10:00Z,49.00,39.00
2025-07-29T23:12:00Z,49.00,47.00
2025-07-29T23:13:00Z,49.00,41.20
2025-07-29T23:14:00Z,67.14,37.17
2025-07-29T23:15:00Z,66.58,32.11
2025-07-29T23:16:00Z,59.98,39.27
2025-07-29T23:17:00Z,49.88,45.00
2025-07-29T23:18:00Z,50.00,45.00
2025-07-29T23:19:00Z,53.69,46.00
2025-07-29T23:20:00Z,57.67,46.00
2025-07-29T23:21:00Z,62.75,40.00
2025-07-29T23:22:00Z,55.00,40.00
2025-07-29T23:23:00Z,55.26,40.00
2025-07-29T23:24:00Z,35.22,56.94
2025-07-29T23:25:00Z,39.92,62.20
2025-07-29T23:26:00Z,40.51,54.00
2025-07-29T23:27:00Z,30.00,65.88
2025-07-29T23:28:00Z,29.08,69.99
2025-07-29T23:29:00Z,30.00,69.99
2025-07-29T23:30:00Z,29.45,69.99
2025-07-29T23:31:00Z,31.24,68.59
2025-07-29T23:32:00Z,32.50,68.95
2025-07-29T23:33:00Z,25.62,77.03
2025-07-29T23:34:00Z,28.30,73.00
2025-07-29T23:35:00Z,28.00,70.00
2025-07-29T23:36:00Z,26.34,75.94
2025-07-29T23:37:00Z,23.98,75.94
2025-07-29T23:38:00Z,28.20,77.49
2025-07-29T23:39:00Z,25.59,75.34
2025-07-29T23:40:00Z,30.88,71.01
2025-07-29T23:41:00Z,34.71,67.00
2025-07-29T23:42:00Z,35.88,66.02
2025-07-29T23:43:00Z,35.41,70.00
2025-07-29T23:44:00Z,30.98,70.00
2025-07-29T23:45:00Z,31.78,69.79
2025-07-29T23:46:00Z,35.72,66.50
2025-07-29T23:47:00Z,34.86,66.50
2025-07-29T23:48:00Z,33.39,72.61
2025-07-29T23:49:00Z,31.32,69.47
2025-07-29T23:50:00Z,21.95,76.03
2025-07-29T23:51:00Z,26.55,77.50
2025-07-29T23:52:00Z,27.95,70.00
2025-07-29T23:53:00Z,20.99,80.37
2025-07-29T23:54:00Z,22.11,78.40
