# event_ticker=KXATPMATCH-25SEP18HIJUGO
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-09-18
timestamp,Rinky Hijikata,Camilo Ugo Carabelli
2025-09-19T04:13:00Z,84.00,15.28
2025-09-19T04:14:00Z,84.46,23.14
2025-09-19T04:15:00Z,84.35,15.40
2025-09-19T04:16:00Z,84.35,21.00
2025-09-19T04:17:00Z,82.66,23.02
2025-09-19T04:18:00Z,84.00,18.81
2025-09-19T04:19:00Z,82.00,19.00
2025-09-19T04:20:00Z,81.15,21.98
2025-09-19T04:21:00Z,82.02,23.00
2025-09-19T04:22:00Z,83.75,22.06
2025-09-19T04:23:00Z,84.36,20.41
2025-09-19T04:24:00Z,80.75,22.51
2025-09-19T04:25:00Z,82.11,23.42
2025-09-19T04:26:00Z,82.11,25.00
2025-09-19T04:27:00Z,78.00,23.68
2025-09-19T04:28:00Z,80.17,20.97
2025-09-19T04:29:00Z,87.89,17.42
2025-09-19T04:30:00Z,81.20,18.05
2025-09-19T04:31:00Z,81.20,16.38
2025-09-19T04:32:00Z,80.00,21.36
2025-09-19T04:33:00Z,82.00,26.64
2025-09-19T04:34:00Z,72.75,30.02
2025-09-19T04:35:00Z,78.12,27.11
2025-09-19T04:36:00Z,72.79,26.62
2025-09-19T04:37:00Z,77.74,26.73
2025-09-19T04:38:00Z,78.00,23.47
2025-09-19T04:39:00Z,73.73,29.59
2025-09-19T04:40:00Z,71.31,31.60
2025-09-19T04:41:00Z,67.88,28.54
2025-09-19T04:42:00Z,72.58,31.71
2025-09-19T04:43:00Z,66.95,35.85
2025-09-19T04:44:00Z,66.95,39.59
2025-09-19T04:45:00Z,55.72,46.58
2025-09-19T04:46:00Z,57.22,48.09
2025-09-19T04:47:00Z,54.46,49.99
2025-09-19T04:48:00Z,55.05,44.92
2025-09-19T04:49:00Z,63.06,42.15
2025-09-19T04:50:00Z,63.10,41.97
2025-09-19T04:51:00Z,66.20,36.37
2025-09-19T04:52:00Z,63.76,35.05
2025-09-19T04:53:00Z,60.19,48.65
2025-09-19T04:54:00Z,52.31,49.27
2025-09-19T04:55:00Z,59.21,49.08
2025-09-19T04:56:00Z,54.35,49.51
2025-09-19T04:57:00Z,67.83,55.41
2025-09-19T04:58:00Z,64.95,52.32
2025-09-19T04:59:00Z,56.55,47.39
2025-09-19T05:00:00Z,56.71,45.19
2025-09-19T05:01:00Z,68.89,49.19
2025-09-19T05:02:00Z,62.80,32.65
2025-09-19T05:03:00Z,62.89,37.04
2025-09-19T05:04:00Z,60.50,43.70
2025-09-19T05:05:00Z,52.08,54.57
2025-09-19T05:06:00Z,66.15,49.67
2025-09-19T05:07:00Z,62.26,51.26
2025-09-19T05:08:00Z,57.78,64.82
2025-09-19T05:09:00Z,54.42,51.63
2025-09-19T05:10:00Z,50.41,75.85
2025-09-19T05:11:00Z,43.38,55.73
2025-09-19T05:12:00Z,44.51,71.73
2025-09-19T05:13:00Z,32.43,59.76
2025-09-19T05:14:00Z,34.36,82.55
2025-09-19T05:15:00Z,30.46,78.74
2025-09-19T05:16:00Z,36.88,80.85
2025-09-19T05:17:00Z,40.08,72.71
2025-09-19T05:18:00Z,47.11,52.85
2025-09-19T05:19:00Z,59.03,46.08
2025-09-19T05:20:00Z,66.49,38.86
2025-09-19T05:21:00Z,72.13,27.95
2025-09-19T05:22:00Z,83.89,29.78
2025-09-19T05:23:00Z,85.03,17.50
2025-09-19T05:24:00Z,85.45,19.96
2025-09-19T05:25:00Z,82.16,18.11
2025-09-19T05:26:00Z,79.89,20.98
2025-09-19T05:27:00Z,82.00,22.24
