# event_ticker=KXATPMATCH-25OCT28SHECOB
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Flavio Cobolli
# kalshi_date=2025-10-28
timestamp,Ben Shelton,Flavio Cobolli
2025-10-28T16:12:00Z,48.00,53.00
2025-10-28T16:13:00Z,48.00,53.00
2025-10-28T16:14:00Z,49.00,53.00
2025-10-28T16:15:00Z,49.00,53.00
2025-10-28T16:16:00Z,49.00,52.91
2025-10-28T16:17:00Z,49.00,51.00
2025-10-28T16:18:00Z,48.98,52.25
2025-10-28T16:19:00Z,49.00,52.25
2025-10-28T16:20:00Z,49.00,52.75
2025-10-28T16:21:00Z,49.00,52.75
2025-10-28T16:22:00Z,49.00,52.00
2025-10-28T16:23:00Z,49.00,52.00
2025-10-28T16:24:00Z,49.00,52.81
2025-10-28T16:25:00Z,49.00,53.00
2025-10-28T16:26:00Z,49.00,53.00
2025-10-28T16:27:00Z,48.94,53.00
2025-10-28T16:28:00Z,47.28,53.00
2025-10-28T16:29:00Z,49.00,53.00
2025-10-28T16:30:00Z,48.17,53.00
2025-10-28T16:31:00Z,49.00,53.00
2025-10-28T16:32:00Z,49.00,53.00
2025-10-28T16:33:00Z,49.00,52.79
2025-10-28T16:34:00Z,49.00,52.00
2025-10-28T16:35:00Z,49.00,52.00
2025-10-28T16:36:00Z,48.62,52.00
2025-10-28T16:37:00Z,49.00,52.00
2025-10-28T16:38:00Z,49.00,52.00
2025-10-28T16:39:00Z,49.00,52.00
2025-10-28T16:40:00Z,49.00,53.90
2025-10-28T16:41:00Z,48.00,53.00
2025-10-28T16:42:00Z,48.00,53.00
2025-10-28T16:43:00Z,48.00,53.00
2025-10-28T16:44:00Z,48.00,53.00
2025-10-28T16:45:00Z,48.61,53.00
2025-10-28T16:46:00Z,48.00,53.00
2025-10-28T16:48:00Z,48.00,53.00
2025-10-28T16:49:00Z,48.00,53.55
2025-10-28T16:50:00Z,48.00,53.00
2025-10-28T16:51:00Z,48.59,53.00
2025-10-28T16:53:00Z,49.00,53.00
2025-10-28T16:54:00Z,47.00,53.00
2025-10-28T16:55:00Z,49.00,53.00
2025-10-28T16:56:00Z,48.89,52.00
2025-10-28T16:57:00Z,49.00,52.00
2025-10-28T16:58:00Z,49.00,52.00
2025-10-28T17:00:00Z,49.00,52.00
2025-10-28T17:01:00Z,48.57,51.03
2025-10-28T17:02:00Z,48.00,54.00
2025-10-28T17:03:00Z,48.00,54.00
2025-10-28T17:04:00Z,48.00,53.00
2025-10-28T17:05:00Z,48.00,53.50
2025-10-28T17:06:00Z,47.98,53.00
2025-10-28T17:07:00Z,48.00,53.00
2025-10-28T17:08:00Z,48.90,52.00
2025-10-28T17:09:00Z,49.00,51.14
2025-10-28T17:10:00Z,49.17,51.00
2025-10-28T17:11:00Z,49.59,51.64
2025-10-28T17:12:00Z,48.22,52.00
2025-10-28T17:13:00Z,49.18,52.00
2025-10-28T17:14:00Z,50.00,52.00
2025-10-28T17:15:00Z,49.98,52.00
2025-10-28T17:16:00Z,50.00,52.00
2025-10-28T17:17:00Z,49.65,52.16
2025-10-28T17:18:00Z,50.00,52.00
2025-10-28T17:19:00Z,50.00,52.29
2025-10-28T17:20:00Z,49.92,52.00
2025-10-28T17:21:00Z,50.00,52.00
2025-10-28T17:22:00Z,50.04,51.97
2025-10-28T17:23:00Z,50.00,51.45
2025-10-28T17:24:00Z,50.00,52.00
2025-10-28T17:25:00Z,50.00,51.82
2025-10-28T17:26:00Z,49.98,52.15
2025-10-28T17:27:00Z,50.00,52.98
2025-10-28T17:28:00Z,48.93,53.00
2025-10-28T17:29:00Z,48.70,52.73
2025-10-28T17:30:00Z,49.00,53.00
2025-10-28T17:31:00Z,49.00,53.00
