# event_ticker=KXATPMATCH-26MAR23CILZVE
# final_score=6-2 5-7 6-4
# score_resolution=2-6 7-5 4-6
# match_winner=Alexander Zverev
# fav_player=Marin Cilic
# dog_player=Alexander Zverev
# kalshi_date=2026-03-23
timestamp,Marin Cilic,Alexander Zverev
2026-03-23T20:53:00Z,16.00,86.00
2026-03-23T20:54:00Z,16.00,86.00
2026-03-23T20:55:00Z,16.00,86.00
2026-03-23T20:56:00Z,15.00,86.00
2026-03-23T20:57:00Z,15.00,86.00
2026-03-23T20:58:00Z,15.00,86.00
2026-03-23T20:59:00Z,15.00,86.00
2026-03-23T21:00:00Z,15.00,86.00
2026-03-23T21:01:00Z,15.00,86.00
2026-03-23T21:02:00Z,15.00,86.00
2026-03-23T21:03:00Z,15.00,86.00
2026-03-23T21:04:00Z,15.64,86.00
2026-03-23T21:05:00Z,15.00,85.00
2026-03-23T21:06:00Z,15.00,86.00
2026-03-23T21:07:00Z,15.00,85.00
2026-03-23T21:08:00Z,15.00,86.00
2026-03-23T21:10:00Z,15.00,86.00
2026-03-23T21:11:00Z,14.00,86.00
2026-03-23T21:12:00Z,14.00,86.00
2026-03-23T21:13:00Z,14.00,86.00
2026-03-23T21:14:00Z,14.00,86.85
2026-03-23T21:15:00Z,15.00,86.85
2026-03-23T21:16:00Z,15.00,86.00
2026-03-23T21:17:00Z,15.93,86.00
2026-03-23T21:18:00Z,15.93,86.27
2026-03-23T21:20:00Z,16.00,85.24
2026-03-23T21:21:00Z,16.00,85.52
2026-03-23T21:22:00Z,15.00,85.52
2026-03-23T21:24:00Z,15.00,86.00
2026-03-23T21:25:00Z,15.00,86.00
2026-03-23T21:26:00Z,15.00,86.58
2026-03-23T21:28:00Z,16.00,86.58
2026-03-23T21:30:00Z,16.00,86.18
2026-03-23T21:31:00Z,15.00,86.28
2026-03-23T21:32:00Z,15.00,86.89
2026-03-23T21:33:00Z,15.00,87.00
2026-03-23T21:34:00Z,15.00,87.00
2026-03-23T21:35:00Z,14.96,85.25
2026-03-23T21:36:00Z,15.00,87.04
2026-03-23T21:37:00Z,15.00,87.04
2026-03-23T21:38:00Z,15.00,87.04
2026-03-23T21:39:00Z,15.00,87.00
2026-03-23T21:40:00Z,14.96,87.00
2026-03-23T21:42:00Z,14.00,87.00
2026-03-23T21:43:00Z,13.86,87.00
2026-03-23T21:44:00Z,14.00,87.57
2026-03-23T21:45:00Z,14.01,87.92
2026-03-23T21:46:00Z,13.88,88.00
2026-03-23T21:47:00Z,14.00,88.00
2026-03-23T21:48:00Z,12.23,87.76
2026-03-23T21:49:00Z,12.00,87.00
2026-03-23T21:50:00Z,12.00,88.00
2026-03-23T21:51:00Z,12.00,88.17
2026-03-23T21:52:00Z,12.00,88.74
2026-03-23T21:53:00Z,12.00,89.00
2026-03-23T21:54:00Z,12.00,89.00
2026-03-23T21:55:00Z,12.00,89.00
2026-03-23T21:56:00Z,12.00,86.47
2026-03-23T21:57:00Z,11.98,87.26
2026-03-23T21:58:00Z,12.00,89.00
2026-03-23T21:59:00Z,14.00,89.00
2026-03-23T22:00:00Z,14.00,87.01
2026-03-23T22:01:00Z,12.87,87.43
2026-03-23T22:02:00Z,13.63,88.54
2026-03-23T22:03:00Z,14.00,88.00
2026-03-23T22:04:00Z,13.97,88.00
2026-03-23T22:05:00Z,15.00,87.00
2026-03-23T22:06:00Z,12.72,88.03
2026-03-23T22:07:00Z,10.29,91.98
2026-03-23T22:08:00Z,10.07,90.96
2026-03-23T22:09:00Z,11.78,89.00
2026-03-23T22:10:00Z,10.19,90.97
2026-03-23T22:11:00Z,6.85,93.39
2026-03-23T22:12:00Z,6.02,95.00
2026-03-23T22:13:00Z,5.99,95.13
2026-03-23T22:14:00Z,5.25,95.01
2026-03-23T22:15:00Z,4.99,96.00
2026-03-23T22:16:00Z,5.13,94.96
2026-03-23T22:17:00Z,6.00,94.36
2026-03-23T22:18:00Z,5.99,94.97
2026-03-23T22:19:00Z,6.15,95.00
2026-03-23T22:20:00Z,5.10,95.00
2026-03-23T22:21:00Z,5.27,94.08
2026-03-23T22:22:00Z,5.98,95.00
2026-03-23T22:23:00Z,5.37,95.99
2026-03-23T22:24:00Z,5.93,95.01
2026-03-23T22:25:00Z,5.40,95.73
2026-03-23T22:26:00Z,4.50,96.10
2026-03-23T22:27:00Z,3.36,96.99
2026-03-23T22:28:00Z,3.66,97.00
2026-03-23T22:29:00Z,4.14,97.00
2026-03-23T22:30:00Z,3.91,97.00
2026-03-23T22:31:00Z,3.99,96.52
2026-03-23T22:32:00Z,3.23,96.98
2026-03-23T22:33:00Z,3.98,97.00
2026-03-23T22:34:00Z,3.31,97.00
2026-03-23T22:35:00Z,3.46,97.00
2026-03-23T22:36:00Z,4.34,96.07
2026-03-23T22:37:00Z,3.63,97.00
2026-03-23T22:38:00Z,4.12,97.00
2026-03-23T22:39:00Z,3.99,97.00
2026-03-23T22:40:00Z,3.99,97.00
2026-03-23T22:41:00Z,4.00,97.00
2026-03-23T22:42:00Z,3.31,97.00
2026-03-23T22:43:00Z,3.20,97.02
2026-03-23T22:44:00Z,3.45,97.00
2026-03-23T22:45:00Z,3.42,97.00
2026-03-23T22:46:00Z,4.00,97.00
2026-03-23T22:47:00Z,4.03,96.00
2026-03-23T22:48:00Z,4.11,96.00
2026-03-23T22:49:00Z,5.55,96.00
2026-03-23T22:50:00Z,4.50,96.11
2026-03-23T22:51:00Z,4.02,96.11
2026-03-23T22:52:00Z,4.96,95.97
2026-03-23T22:53:00Z,4.78,96.00
2026-03-23T22:54:00Z,4.15,96.57
2026-03-23T22:55:00Z,4.40,96.60
2026-03-23T22:56:00Z,4.99,96.00
2026-03-23T22:57:00Z,4.95,96.00
2026-03-23T22:58:00Z,4.47,95.23
2026-03-23T22:59:00Z,3.56,97.00
2026-03-23T23:00:00Z,3.71,97.97
2026-03-23T23:01:00Z,2.27,98.00
2026-03-23T23:02:00Z,3.02,97.55
2026-03-23T23:03:00Z,4.71,96.37
2026-03-23T23:04:00Z,4.97,95.99
2026-03-23T23:05:00Z,5.12,95.34
2026-03-23T23:06:00Z,5.45,95.28
2026-03-23T23:07:00Z,5.03,95.09
2026-03-23T23:08:00Z,5.97,94.93
2026-03-23T23:09:00Z,4.81,94.99
2026-03-23T23:10:00Z,4.94,96.00
2026-03-23T23:11:00Z,5.08,95.01
2026-03-23T23:12:00Z,5.99,94.09
2026-03-23T23:13:00Z,6.00,94.00
2026-03-23T23:14:00Z,6.00,95.00
2026-03-23T23:15:00Z,5.99,95.00
2026-03-23T23:16:00Z,6.07,95.00
2026-03-23T23:17:00Z,5.93,94.42
2026-03-23T23:18:00Z,5.99,94.44
2026-03-23T23:19:00Z,5.69,94.95
2026-03-23T23:20:00Z,6.53,94.10
2026-03-23T23:21:00Z,5.99,94.98
2026-03-23T23:22:00Z,5.69,94.15
2026-03-23T23:23:00Z,3.74,96.18
2026-03-23T23:24:00Z,4.76,95.85
2026-03-23T23:25:00Z,6.00,94.73
2026-03-23T23:26:00Z,6.59,94.00
2026-03-23T23:27:00Z,6.95,94.00
2026-03-23T23:28:00Z,5.77,94.09
2026-03-23T23:29:00Z,6.74,94.00
2026-03-23T23:30:00Z,6.17,94.93
2026-03-23T23:31:00Z,5.46,94.28
2026-03-23T23:32:00Z,6.84,93.81
2026-03-23T23:33:00Z,6.28,94.08
2026-03-23T23:34:00Z,6.09,95.00
2026-03-23T23:35:00Z,4.88,94.56
2026-03-23T23:36:00Z,3.57,96.65
2026-03-23T23:37:00Z,3.02,96.05
2026-03-23T23:38:00Z,4.41,95.00
2026-03-23T23:39:00Z,5.05,94.97
2026-03-23T23:40:00Z,4.71,94.03
2026-03-23T23:41:00Z,5.95,94.99
2026-03-23T23:42:00Z,4.40,97.07
2026-03-23T23:43:00Z,3.77,97.10
2026-03-23T23:44:00Z,2.76,97.25
2026-03-23T23:45:00Z,3.65,97.08
2026-03-23T23:46:00Z,3.89,97.00
2026-03-23T23:47:00Z,5.94,94.71
2026-03-23T23:48:00Z,5.59,94.81
2026-03-23T23:49:00Z,5.96,94.00
2026-03-23T23:50:00Z,6.66,94.00
2026-03-23T23:51:00Z,6.69,93.26
2026-03-23T23:52:00Z,9.49,90.99
2026-03-23T23:53:00Z,7.86,93.00
2026-03-23T23:54:00Z,10.81,90.47
2026-03-23T23:55:00Z,8.95,90.85
2026-03-23T23:56:00Z,18.82,83.03
2026-03-23T23:57:00Z,19.96,79.25
2026-03-23T23:58:00Z,21.12,79.14
2026-03-23T23:59:00Z,21.19,79.38
2026-03-24T00:00:00Z,16.10,83.36
2026-03-24T00:01:00Z,13.29,86.44
2026-03-24T00:02:00Z,19.72,81.52
