# event_ticker=KXATPMATCH-25JUL28CORGIG
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Gigante
# fav_player=Borna Coric
# dog_player=Matteo Gigante
# kalshi_date=2025-07-28
timestamp,Borna Coric,Matteo Gigante
2025-07-28T22:11:00Z,73.63,24.71
2025-07-28T22:12:00Z,73.00,24.71
2025-07-28T22:13:00Z,72.00,30.00
2025-07-28T22:14:00Z,71.47,30.49
2025-07-28T22:15:00Z,72.00,30.49
2025-07-28T22:16:00Z,72.00,37.00
2025-07-28T22:17:00Z,65.94,37.00
2025-07-28T22:18:00Z,68.20,42.32
2025-07-28T22:19:00Z,58.00,44.38
2025-07-28T22:20:00Z,51.01,49.04
2025-07-28T22:21:00Z,50.00,51.06
2025-07-28T22:22:00Z,48.00,52.00
2025-07-28T22:23:00Z,48.00,51.61
2025-07-28T22:24:00Z,47.00,51.00
2025-07-28T22:25:00Z,50.66,52.02
2025-07-28T22:26:00Z,52.79,52.02
2025-07-28T22:27:00Z,54.87,50.27
2025-07-28T22:28:00Z,51.74,52.61
2025-07-28T22:29:00Z,59.00,49.00
2025-07-28T22:30:00Z,58.91,37.42
2025-07-28T22:31:00Z,57.72,37.42
2025-07-28T22:32:00Z,54.62,50.07
2025-07-28T22:33:00Z,54.62,49.00
2025-07-28T22:34:00Z,54.62,49.64
2025-07-28T22:35:00Z,53.00,49.00
2025-07-28T22:36:00Z,51.96,48.67
2025-07-28T22:37:00Z,51.96,51.00
2025-07-28T22:38:00Z,51.00,48.09
2025-07-28T22:39:00Z,49.40,55.00
2025-07-28T22:40:00Z,49.40,54.00
2025-07-28T22:41:00Z,46.00,54.00
2025-07-28T22:42:00Z,49.59,54.00
2025-07-28T22:43:00Z,49.59,56.80
2025-07-28T22:44:00Z,44.68,58.02
2025-07-28T22:45:00Z,40.00,61.80
2025-07-28T22:46:00Z,38.42,62.99
2025-07-28T22:47:00Z,39.05,62.99
2025-07-28T22:48:00Z,40.69,59.26
2025-07-28T22:49:00Z,41.02,58.30
2025-07-28T22:50:00Z,41.27,56.96
2025-07-28T22:51:00Z,50.06,48.26
2025-07-28T22:52:00Z,51.07,44.81
2025-07-28T22:53:00Z,58.18,38.00
2025-07-28T22:54:00Z,52.13,46.74
2025-07-28T22:55:00Z,49.48,47.40
2025-07-28T22:56:00Z,43.53,57.02
2025-07-28T22:57:00Z,38.30,65.02
2025-07-28T22:58:00Z,29.00,66.99
2025-07-28T22:59:00Z,32.65,67.00
2025-07-28T23:00:00Z,32.57,68.02
