# event_ticker=KXATPMATCH-25OCT14FONVAN
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Joao Fonseca
# kalshi_date=2025-10-14
timestamp,Botic Van de Zandschulp,Joao Fonseca
2025-10-14T18:52:00Z,39.01,65.56
2025-10-14T18:53:00Z,27.17,70.81
2025-10-14T18:54:00Z,23.74,74.48
2025-10-14T18:55:00Z,24.20,77.11
2025-10-14T18:56:00Z,22.78,78.85
2025-10-14T18:57:00Z,19.92,79.85
2025-10-14T18:58:00Z,20.10,81.40
2025-10-14T18:59:00Z,18.92,82.88
2025-10-14T19:00:00Z,19.03,81.48
2025-10-14T19:01:00Z,15.27,83.74
2025-10-14T19:02:00Z,17.54,83.56
2025-10-14T19:03:00Z,21.00,81.84
2025-10-14T19:04:00Z,21.00,81.76
2025-10-14T19:05:00Z,21.42,78.87
2025-10-14T19:06:00Z,34.41,72.20
2025-10-14T19:07:00Z,38.10,61.29
2025-10-14T19:08:00Z,41.18,56.45
2025-10-14T19:09:00Z,44.68,53.21
2025-10-14T19:10:00Z,45.09,53.00
2025-10-14T19:11:00Z,50.38,52.84
2025-10-14T19:12:00Z,42.49,54.50
2025-10-14T19:13:00Z,40.62,58.60
2025-10-14T19:14:00Z,42.00,57.92
2025-10-14T19:15:00Z,41.57,61.78
2025-10-14T19:16:00Z,43.31,55.90
2025-10-14T19:17:00Z,45.09,55.92
2025-10-14T19:18:00Z,44.89,55.49
2025-10-14T19:19:00Z,47.99,53.49
2025-10-14T19:20:00Z,54.65,46.50
2025-10-14T19:21:00Z,53.48,48.33
2025-10-14T19:22:00Z,53.66,46.41
2025-10-14T19:23:00Z,45.13,54.81
2025-10-14T19:24:00Z,52.56,50.08
2025-10-14T19:25:00Z,57.24,45.86
2025-10-14T19:26:00Z,57.53,46.38
2025-10-14T19:27:00Z,51.13,45.08
2025-10-14T19:28:00Z,49.58,51.19
2025-10-14T19:29:00Z,48.23,51.58
2025-10-14T19:30:00Z,55.54,47.49
2025-10-14T19:31:00Z,58.61,47.24
2025-10-14T19:32:00Z,54.91,44.53
2025-10-14T19:33:00Z,50.58,49.39
2025-10-14T19:34:00Z,57.89,43.22
2025-10-14T19:35:00Z,70.44,31.81
2025-10-14T19:36:00Z,72.28,30.85
2025-10-14T19:37:00Z,72.69,30.17
2025-10-14T19:38:00Z,65.90,32.32
2025-10-14T19:39:00Z,73.00,28.11
2025-10-14T19:40:00Z,75.18,27.01
2025-10-14T19:41:00Z,75.67,26.41
2025-10-14T19:42:00Z,73.82,29.25
2025-10-14T19:43:00Z,74.92,28.09
2025-10-14T19:44:00Z,76.75,23.76
2025-10-14T19:45:00Z,77.53,24.33
2025-10-14T19:46:00Z,73.43,28.27
2025-10-14T19:47:00Z,78.03,25.50
2025-10-14T19:48:00Z,78.53,22.91
2025-10-14T19:49:00Z,78.50,24.27
2025-10-14T19:50:00Z,78.89,23.92
2025-10-14T19:51:00Z,76.79,26.75
2025-10-14T19:52:00Z,73.25,28.61
2025-10-14T19:53:00Z,71.03,28.66
2025-10-14T19:54:00Z,72.93,29.45
2025-10-14T19:55:00Z,77.90,22.05
2025-10-14T19:56:00Z,80.43,22.99
2025-10-14T19:57:00Z,78.20,21.29
2025-10-14T19:58:00Z,79.01,24.24
2025-10-14T19:59:00Z,77.19,23.33
2025-10-14T20:00:00Z,77.77,22.45
2025-10-14T20:01:00Z,77.15,26.31
2025-10-14T20:02:00Z,68.71,29.50
2025-10-14T20:03:00Z,59.99,40.60
2025-10-14T20:04:00Z,53.13,47.30
2025-10-14T20:05:00Z,52.92,48.96
2025-10-14T20:06:00Z,50.54,49.93
2025-10-14T20:07:00Z,45.84,55.57
2025-10-14T20:08:00Z,47.82,54.21
2025-10-14T20:09:00Z,46.96,52.88
2025-10-14T20:10:00Z,44.76,56.41
2025-10-14T20:11:00Z,46.75,54.54
2025-10-14T20:12:00Z,46.52,54.45
2025-10-14T20:13:00Z,47.73,53.71
2025-10-14T20:14:00Z,43.94,57.71
2025-10-14T20:15:00Z,44.85,55.72
2025-10-14T20:16:00Z,48.46,51.41
2025-10-14T20:17:00Z,47.34,51.07
2025-10-14T20:18:00Z,51.03,53.72
2025-10-14T20:19:00Z,49.38,53.38
2025-10-14T20:20:00Z,46.63,52.48
2025-10-14T20:21:00Z,56.12,40.01
2025-10-14T20:22:00Z,68.83,28.19
2025-10-14T20:23:00Z,75.72,25.74
2025-10-14T20:24:00Z,79.46,22.93
2025-10-14T20:25:00Z,79.65,21.34
2025-10-14T20:26:00Z,81.13,23.17
2025-10-14T20:27:00Z,71.68,28.68
2025-10-14T20:28:00Z,71.33,28.93
2025-10-14T20:29:00Z,71.96,30.89
2025-10-14T20:30:00Z,78.99,19.00
2025-10-14T20:31:00Z,93.25,7.10
2025-10-14T20:32:00Z,97.45,2.80
2025-10-14T20:33:00Z,98.12,2.15
2025-10-14T20:34:00Z,97.57,3.81
2025-10-14T20:35:00Z,98.91,2.91
2025-10-14T20:36:00Z,99.00,2.91
2025-10-14T20:37:00Z,99.00,2.91
2025-10-14T20:38:00Z,99.00,2.91
2025-10-14T20:39:00Z,99.00,2.91
2025-10-14T20:40:00Z,99.00,2.91
2025-10-14T20:41:00Z,99.00,1.00
