# event_ticker=KXATPMATCH-26MAR08DAVMEN
# final_score=6-2 4-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jakub Mensik
# kalshi_date=2026-03-08
timestamp,Alejandro Davidovich Fokina,Jakub Mensik
2026-03-08T18:57:00Z,43.00,59.00
2026-03-08T19:01:00Z,43.00,59.00
2026-03-08T19:02:00Z,43.00,59.00
2026-03-08T19:03:00Z,43.00,59.00
2026-03-08T19:04:00Z,43.00,59.00
2026-03-08T19:05:00Z,43.00,59.00
2026-03-08T19:07:00Z,43.00,59.00
2026-03-08T19:08:00Z,43.00,59.00
2026-03-08T19:11:00Z,43.00,59.00
2026-03-08T19:12:00Z,43.00,59.00
2026-03-08T19:13:00Z,43.00,59.00
2026-03-08T19:15:00Z,43.00,58.00
2026-03-08T19:17:00Z,43.00,59.00
2026-03-08T19:18:00Z,43.00,59.00
2026-03-08T19:19:00Z,43.00,59.00
2026-03-08T19:20:00Z,44.00,59.00
2026-03-08T19:21:00Z,44.00,59.00
2026-03-08T19:22:00Z,41.64,59.00
2026-03-08T19:26:00Z,44.00,59.00
2026-03-08T19:28:00Z,44.00,59.00
2026-03-08T19:30:00Z,44.00,59.00
2026-03-08T19:32:00Z,44.00,59.00
2026-03-08T19:33:00Z,44.00,59.00
2026-03-08T19:34:00Z,44.00,59.00
2026-03-08T19:37:00Z,44.00,59.00
2026-03-08T19:38:00Z,43.00,59.00
2026-03-08T19:39:00Z,43.00,59.00
2026-03-08T19:40:00Z,43.00,59.00
2026-03-08T19:41:00Z,43.00,59.00
2026-03-08T19:42:00Z,42.00,59.00
2026-03-08T19:45:00Z,42.00,59.00
2026-03-08T19:46:00Z,42.00,59.00
2026-03-08T19:49:00Z,42.00,59.00
2026-03-08T19:50:00Z,42.00,59.00
2026-03-08T19:52:00Z,42.00,59.00
2026-03-08T19:53:00Z,43.00,58.99
2026-03-08T19:54:00Z,43.00,59.00
2026-03-08T19:55:00Z,43.00,59.00
2026-03-08T19:56:00Z,43.00,59.00
2026-03-08T19:57:00Z,43.00,59.00
2026-03-08T19:58:00Z,43.00,59.00
2026-03-08T20:01:00Z,43.00,58.00
2026-03-08T20:02:00Z,43.00,59.00
2026-03-08T20:03:00Z,43.00,59.00
2026-03-08T20:05:00Z,43.00,59.00
2026-03-08T20:07:00Z,43.00,59.00
2026-03-08T20:08:00Z,43.00,59.00
2026-03-08T20:09:00Z,43.00,58.00
2026-03-08T20:10:00Z,43.00,59.00
2026-03-08T20:11:00Z,43.00,59.00
2026-03-08T20:12:00Z,43.00,59.00
2026-03-08T20:14:00Z,43.00,59.00
2026-03-08T20:15:00Z,43.00,59.00
2026-03-08T20:16:00Z,43.00,59.00
2026-03-08T20:17:00Z,43.00,58.00
2026-03-08T20:20:00Z,43.00,59.00
2026-03-08T20:21:00Z,43.00,58.00
2026-03-08T20:22:00Z,43.00,58.00
2026-03-08T20:23:00Z,43.00,59.00
