# event_ticker=KXATPMATCH-25AUG15RUBALC
# final_score=6-3 4-6 7-5
# score_resolution=3-6 6-4 5-7
# match_winner=Carlos Alcaraz
# fav_player=Andrey Rublev
# dog_player=Carlos Alcaraz
# kalshi_date=2025-08-15
timestamp,Andrey Rublev,Carlos Alcaraz
2025-08-15T19:40:00Z,10.91,90.00
2025-08-15T19:41:00Z,9.78,90.47
2025-08-15T19:42:00Z,10.02,91.64
2025-08-15T19:43:00Z,9.96,92.50
2025-08-15T19:44:00Z,11.79,89.69
2025-08-15T19:45:00Z,13.82,85.86
2025-08-15T19:46:00Z,10.99,88.90
2025-08-15T19:47:00Z,9.80,93.89
2025-08-15T19:48:00Z,7.92,91.81
2025-08-15T19:49:00Z,8.31,95.43
2025-08-15T19:50:00Z,7.20,96.11
2025-08-15T19:51:00Z,6.29,94.08
2025-08-15T19:52:00Z,6.00,94.08
2025-08-15T19:53:00Z,6.29,95.73
2025-08-15T19:54:00Z,4.71,95.91
2025-08-15T19:55:00Z,4.19,95.91
2025-08-15T19:56:00Z,5.00,95.50
2025-08-15T19:57:00Z,5.22,95.85
2025-08-15T19:58:00Z,6.03,94.35
2025-08-15T19:59:00Z,6.00,96.00
2025-08-15T20:00:00Z,5.00,95.00
2025-08-15T20:01:00Z,5.69,95.00
2025-08-15T20:02:00Z,5.00,95.00
2025-08-15T20:03:00Z,5.21,95.00
2025-08-15T20:04:00Z,5.90,94.34
2025-08-15T20:05:00Z,5.75,94.62
2025-08-15T20:06:00Z,5.75,94.74
2025-08-15T20:07:00Z,7.00,95.00
2025-08-15T20:08:00Z,6.29,93.00
2025-08-15T20:09:00Z,6.25,93.00
2025-08-15T20:10:00Z,7.00,92.55
2025-08-15T20:11:00Z,7.50,92.55
2025-08-15T20:12:00Z,9.63,92.81
2025-08-15T20:13:00Z,10.01,91.91
2025-08-15T20:14:00Z,9.39,92.98
2025-08-15T20:15:00Z,9.00,92.34
2025-08-15T20:16:00Z,11.09,92.00
2025-08-15T20:17:00Z,17.56,80.49
2025-08-15T20:18:00Z,23.81,78.32
2025-08-15T20:19:00Z,22.99,78.28
2025-08-15T20:20:00Z,21.94,80.90
2025-08-15T20:21:00Z,26.06,76.84
2025-08-15T20:22:00Z,31.11,67.60
2025-08-15T20:23:00Z,29.41,71.57
2025-08-15T20:24:00Z,29.06,71.99
2025-08-15T20:25:00Z,26.26,74.47
2025-08-15T20:26:00Z,28.05,74.00
2025-08-15T20:27:00Z,30.81,72.83
2025-08-15T20:28:00Z,28.99,74.15
2025-08-15T20:29:00Z,30.06,67.32
2025-08-15T20:30:00Z,31.57,70.98
2025-08-15T20:31:00Z,27.93,72.36
2025-08-15T20:32:00Z,27.94,73.38
2025-08-15T20:33:00Z,29.45,73.00
2025-08-15T20:34:00Z,28.00,73.00
2025-08-15T20:35:00Z,24.00,72.59
2025-08-15T20:36:00Z,24.00,74.57
2025-08-15T20:37:00Z,27.40,75.45
2025-08-15T20:38:00Z,27.40,74.75
2025-08-15T20:39:00Z,27.72,75.04
2025-08-15T20:40:00Z,24.00,75.26
2025-08-15T20:41:00Z,20.89,74.26
2025-08-15T20:42:00Z,29.40,73.04
2025-08-15T20:43:00Z,24.27,73.76
2025-08-15T20:44:00Z,29.45,73.66
2025-08-15T20:45:00Z,27.59,74.37
2025-08-15T20:46:00Z,28.19,76.81
2025-08-15T20:47:00Z,28.00,76.00
2025-08-15T20:48:00Z,27.80,75.14
2025-08-15T20:49:00Z,27.00,72.26
2025-08-15T20:50:00Z,29.51,75.00
2025-08-15T20:51:00Z,28.87,75.59
2025-08-15T20:52:00Z,18.27,82.50
2025-08-15T20:53:00Z,27.56,75.59
2025-08-15T20:54:00Z,21.14,77.82
2025-08-15T20:55:00Z,22.60,77.26
2025-08-15T20:56:00Z,27.73,73.16
2025-08-15T20:57:00Z,31.31,68.23
2025-08-15T20:58:00Z,46.62,53.44
2025-08-15T20:59:00Z,37.50,66.39
2025-08-15T21:00:00Z,31.41,74.31
2025-08-15T21:01:00Z,24.18,75.13
2025-08-15T21:02:00Z,26.48,75.11
2025-08-15T21:03:00Z,23.44,79.05
2025-08-15T21:04:00Z,31.94,74.00
2025-08-15T21:05:00Z,35.39,71.68
2025-08-15T21:06:00Z,31.54,68.36
2025-08-15T21:07:00Z,37.72,67.60
2025-08-15T21:08:00Z,33.98,73.73
2025-08-15T21:09:00Z,29.02,72.22
2025-08-15T21:10:00Z,30.00,74.12
2025-08-15T21:11:00Z,26.21,73.33
2025-08-15T21:12:00Z,28.92,72.08
2025-08-15T21:13:00Z,15.86,84.09
2025-08-15T21:14:00Z,7.68,95.29
2025-08-15T21:15:00Z,7.22,95.74
2025-08-15T21:16:00Z,11.23,91.90
2025-08-15T21:17:00Z,21.96,83.36
2025-08-15T21:18:00Z,27.60,73.97
2025-08-15T21:19:00Z,32.60,71.97
2025-08-15T21:20:00Z,33.41,67.70
2025-08-15T21:21:00Z,37.48,66.07
2025-08-15T21:22:00Z,38.92,65.04
2025-08-15T21:23:00Z,35.28,65.43
2025-08-15T21:24:00Z,29.64,73.17
2025-08-15T21:25:00Z,27.19,73.39
2025-08-15T21:26:00Z,30.70,72.00
2025-08-15T21:27:00Z,28.97,69.07
2025-08-15T21:28:00Z,32.91,68.87
2025-08-15T21:29:00Z,32.46,68.59
2025-08-15T21:30:00Z,24.04,69.67
2025-08-15T21:31:00Z,4.30,95.92
2025-08-15T21:32:00Z,4.30,99.00
2025-08-15T21:33:00Z,4.30,99.00
2025-08-15T21:34:00Z,4.30,99.00
2025-08-15T21:35:00Z,4.30,99.00
2025-08-15T21:36:00Z,4.30,99.00
