# event_ticker=KXATPMATCH-26FEB25MEDWAW
# final_score=6-2 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Stan Wawrinka
# kalshi_date=2026-02-25
timestamp,Daniil Medvedev,Stan Wawrinka
2026-02-25T06:30:00Z,86.00,16.00
2026-02-25T06:32:00Z,86.00,16.00
2026-02-25T06:33:00Z,86.00,15.00
2026-02-25T06:34:00Z,86.00,16.00
2026-02-25T06:35:00Z,86.00,16.00
2026-02-25T06:36:00Z,86.00,16.00
2026-02-25T06:37:00Z,85.00,16.00
2026-02-25T06:38:00Z,85.00,16.00
2026-02-25T06:39:00Z,85.00,16.00
2026-02-25T06:40:00Z,85.00,16.00
2026-02-25T06:41:00Z,85.00,15.71
2026-02-25T06:42:00Z,85.00,16.00
2026-02-25T06:45:00Z,85.00,16.00
2026-02-25T06:47:00Z,85.00,16.00
2026-02-25T06:48:00Z,85.00,16.00
2026-02-25T06:52:00Z,85.00,16.00
2026-02-25T06:54:00Z,85.00,16.00
2026-02-25T06:55:00Z,85.00,16.00
2026-02-25T06:56:00Z,85.00,16.00
2026-02-25T06:57:00Z,85.00,16.00
2026-02-25T06:59:00Z,85.00,16.00
2026-02-25T07:01:00Z,85.00,16.00
2026-02-25T07:02:00Z,85.00,16.00
2026-02-25T07:03:00Z,85.00,16.00
2026-02-25T07:07:00Z,85.00,16.00
2026-02-25T07:09:00Z,85.00,16.00
2026-02-25T07:11:00Z,85.00,16.00
2026-02-25T07:14:00Z,85.00,16.00
2026-02-25T07:15:00Z,85.00,16.00
2026-02-25T07:16:00Z,85.00,16.00
2026-02-25T07:18:00Z,85.00,16.00
2026-02-25T07:19:00Z,86.00,16.00
2026-02-25T07:20:00Z,85.00,16.00
2026-02-25T07:21:00Z,86.00,16.00
2026-02-25T07:22:00Z,86.00,15.38
2026-02-25T07:23:00Z,86.00,15.38
2026-02-25T07:26:00Z,86.00,15.38
2026-02-25T07:30:00Z,86.00,15.38
2026-02-25T07:32:00Z,86.00,16.00
2026-02-25T07:35:00Z,86.00,16.00
2026-02-25T07:37:00Z,84.00,16.00
2026-02-25T07:38:00Z,85.00,16.00
2026-02-25T07:39:00Z,85.00,16.00
2026-02-25T07:41:00Z,85.00,16.00
2026-02-25T07:45:00Z,85.00,16.00
2026-02-25T07:49:00Z,85.00,16.23
2026-02-25T07:52:00Z,85.00,17.00
2026-02-25T08:01:00Z,85.00,16.00
2026-02-25T08:03:00Z,85.00,16.00
2026-02-25T08:06:00Z,84.00,16.00
2026-02-25T08:09:00Z,84.00,16.00
2026-02-25T08:10:00Z,84.00,16.00
2026-02-25T08:14:00Z,85.00,14.29
2026-02-25T08:16:00Z,85.00,16.00
2026-02-25T08:17:00Z,85.00,16.00
2026-02-25T08:18:00Z,85.00,16.00
2026-02-25T08:30:00Z,85.00,16.00
2026-02-25T08:33:00Z,85.00,16.00
2026-02-25T08:38:00Z,85.00,16.00
2026-02-25T08:41:00Z,85.00,16.00
2026-02-25T08:44:00Z,85.00,16.00
2026-02-25T08:46:00Z,85.00,16.00
2026-02-25T09:04:00Z,85.00,16.00
2026-02-25T09:06:00Z,85.00,16.00
2026-02-25T09:12:00Z,85.00,16.00
2026-02-25T09:13:00Z,86.00,15.00
2026-02-25T09:15:00Z,86.00,15.00
2026-02-25T09:17:00Z,86.00,15.00
2026-02-25T09:20:00Z,86.00,15.00
2026-02-25T09:24:00Z,86.00,15.00
2026-02-25T09:25:00Z,85.00,15.00
2026-02-25T09:31:00Z,86.00,15.00
2026-02-25T09:37:00Z,86.00,15.00
2026-02-25T09:38:00Z,86.00,15.00
2026-02-25T09:41:00Z,86.00,15.00
2026-02-25T09:43:00Z,86.00,15.42
2026-02-25T09:46:00Z,86.00,15.42
2026-02-25T09:47:00Z,86.00,16.00
2026-02-25T09:49:00Z,86.00,16.00
2026-02-25T09:50:00Z,86.00,16.00
2026-02-25T09:51:00Z,86.00,16.00
2026-02-25T09:52:00Z,86.00,16.00
2026-02-25T09:53:00Z,86.00,16.00
2026-02-25T09:54:00Z,86.00,16.00
2026-02-25T09:55:00Z,86.00,16.00
2026-02-25T09:56:00Z,86.00,16.00
2026-02-25T09:57:00Z,86.00,16.00
2026-02-25T09:58:00Z,86.00,16.00
2026-02-25T10:00:00Z,86.00,16.00
2026-02-25T10:01:00Z,84.82,19.27
2026-02-25T10:02:00Z,84.00,17.00
2026-02-25T10:03:00Z,84.00,18.00
2026-02-25T10:04:00Z,84.00,17.11
2026-02-25T10:05:00Z,84.00,17.11
2026-02-25T10:06:00Z,84.00,18.00
2026-02-25T10:07:00Z,84.00,18.00
2026-02-25T10:08:00Z,84.00,18.00
2026-02-25T10:09:00Z,84.00,18.00
2026-02-25T10:10:00Z,84.00,18.00
2026-02-25T10:11:00Z,84.00,18.00
2026-02-25T10:12:00Z,83.15,18.00
2026-02-25T10:13:00Z,84.00,17.67
2026-02-25T10:14:00Z,85.37,14.28
2026-02-25T10:15:00Z,85.72,17.03
