# event_ticker=KXATPMATCH-25SEP22NAKTAB
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Brandon Nakashima
# kalshi_date=2025-09-22
timestamp,Alejandro Tabilo,Brandon Nakashima
2025-09-22T07:53:00Z,36.00,65.00
2025-09-22T07:54:00Z,36.00,65.00
2025-09-22T07:57:00Z,36.00,65.00
2025-09-22T07:58:00Z,36.00,65.00
2025-09-22T08:02:00Z,36.00,65.00
2025-09-22T08:04:00Z,36.00,65.00
2025-09-22T08:05:00Z,36.00,65.00
2025-09-22T08:07:00Z,36.00,65.00
2025-09-22T08:08:00Z,36.00,65.00
2025-09-22T08:13:00Z,36.00,65.97
2025-09-22T08:14:00Z,36.00,65.00
2025-09-22T08:15:00Z,36.00,65.00
2025-09-22T08:19:00Z,36.00,65.00
2025-09-22T08:20:00Z,36.00,65.00
2025-09-22T08:21:00Z,36.00,65.00
2025-09-22T08:23:00Z,36.00,65.00
2025-09-22T08:25:00Z,36.00,65.00
2025-09-22T08:27:00Z,36.00,65.00
2025-09-22T08:28:00Z,35.00,65.00
2025-09-22T08:29:00Z,35.00,65.00
2025-09-22T08:30:00Z,35.00,66.00
2025-09-22T08:31:00Z,35.09,66.00
2025-09-22T08:35:00Z,35.09,66.00
2025-09-22T08:37:00Z,35.09,66.00
2025-09-22T08:38:00Z,36.00,66.00
2025-09-22T08:39:00Z,36.00,66.00
2025-09-22T08:42:00Z,36.00,66.00
2025-09-22T08:43:00Z,36.00,66.00
2025-09-22T08:45:00Z,34.00,66.00
2025-09-22T08:46:00Z,36.00,66.00
2025-09-22T08:47:00Z,36.00,65.97
2025-09-22T08:48:00Z,36.00,66.00
2025-09-22T08:49:00Z,36.00,66.00
2025-09-22T08:51:00Z,36.00,66.00
2025-09-22T08:54:00Z,36.00,65.04
2025-09-22T08:55:00Z,36.00,65.04
2025-09-22T08:56:00Z,34.00,66.00
2025-09-22T08:57:00Z,34.00,66.00
2025-09-22T08:58:00Z,34.00,67.00
2025-09-22T08:59:00Z,34.00,67.00
2025-09-22T09:01:00Z,36.00,67.00
2025-09-22T09:02:00Z,35.96,67.00
2025-09-22T09:03:00Z,36.00,67.00
2025-09-22T09:04:00Z,36.00,67.00
2025-09-22T09:05:00Z,36.00,67.00
2025-09-22T09:06:00Z,36.00,67.00
2025-09-22T09:07:00Z,36.00,67.00
2025-09-22T09:09:00Z,36.00,63.78
2025-09-22T09:10:00Z,35.00,63.78
2025-09-22T09:11:00Z,35.00,64.00
2025-09-22T09:12:00Z,36.00,66.34
2025-09-22T09:13:00Z,36.00,66.82
2025-09-22T09:14:00Z,36.00,64.64
2025-09-22T09:15:00Z,36.64,64.64
2025-09-22T09:16:00Z,38.00,64.52
2025-09-22T09:17:00Z,38.00,66.00
2025-09-22T09:18:00Z,38.00,65.06
2025-09-22T09:19:00Z,37.00,66.00
2025-09-22T09:20:00Z,36.00,65.54
2025-09-22T09:21:00Z,34.63,68.82
2025-09-22T09:23:00Z,38.18,63.12
2025-09-22T09:24:00Z,41.42,59.28
2025-09-22T09:25:00Z,44.00,55.43
2025-09-22T09:26:00Z,48.39,55.87
2025-09-22T09:27:00Z,47.00,55.00
2025-09-22T09:28:00Z,55.56,49.22
2025-09-22T09:29:00Z,57.94,42.96
2025-09-22T09:30:00Z,58.13,42.44
2025-09-22T09:31:00Z,58.00,45.00
2025-09-22T09:32:00Z,61.79,39.94
2025-09-22T09:33:00Z,63.45,37.08
2025-09-22T09:34:00Z,63.45,37.93
2025-09-22T09:35:00Z,62.84,38.89
2025-09-22T09:36:00Z,66.00,35.39
2025-09-22T09:37:00Z,66.00,35.00
2025-09-22T09:38:00Z,60.00,37.75
2025-09-22T09:39:00Z,62.13,44.00
2025-09-22T09:40:00Z,66.70,34.99
2025-09-22T09:41:00Z,63.46,38.66
2025-09-22T09:42:00Z,65.33,37.61
2025-09-22T09:43:00Z,66.21,36.07
2025-09-22T09:44:00Z,65.81,36.23
2025-09-22T09:45:00Z,65.00,37.00
2025-09-22T09:46:00Z,64.92,36.57
2025-09-22T09:47:00Z,67.33,34.78
2025-09-22T09:48:00Z,67.33,31.43
2025-09-22T09:49:00Z,68.52,30.52
2025-09-22T09:50:00Z,68.06,30.34
2025-09-22T09:51:00Z,67.61,33.62
2025-09-22T09:52:00Z,67.61,33.00
2025-09-22T09:53:00Z,68.98,33.00
2025-09-22T09:54:00Z,67.32,32.00
2025-09-22T09:55:00Z,68.09,34.00
2025-09-22T09:56:00Z,70.66,33.82
2025-09-22T09:57:00Z,68.00,33.00
2025-09-22T09:58:00Z,67.15,33.12
2025-09-22T09:59:00Z,67.15,34.54
2025-09-22T10:00:00Z,64.94,36.86
2025-09-22T10:01:00Z,65.00,36.40
2025-09-22T10:02:00Z,65.00,36.40
2025-09-22T10:03:00Z,64.00,35.58
2025-09-22T10:04:00Z,67.42,32.88
2025-09-22T10:06:00Z,70.27,38.74
2025-09-22T10:07:00Z,66.00,33.49
2025-09-22T10:08:00Z,73.92,24.96
2025-09-22T10:09:00Z,70.00,33.83
2025-09-22T10:10:00Z,70.00,34.00
2025-09-22T10:11:00Z,70.00,31.08
2025-09-22T10:12:00Z,70.00,34.00
2025-09-22T10:13:00Z,70.00,34.00
2025-09-22T10:14:00Z,70.00,33.68
2025-09-22T10:15:00Z,67.86,33.10
2025-09-22T10:16:00Z,71.34,30.00
2025-09-22T10:17:00Z,72.00,30.00
2025-09-22T10:18:00Z,68.00,35.00
2025-09-22T10:19:00Z,66.92,35.75
2025-09-22T10:20:00Z,65.69,35.00
2025-09-22T10:21:00Z,65.69,33.00
2025-09-22T10:22:00Z,71.00,31.00
2025-09-22T10:23:00Z,76.62,30.00
2025-09-22T10:24:00Z,69.42,32.55
2025-09-22T10:25:00Z,69.42,33.97
2025-09-22T10:26:00Z,69.42,36.88
2025-09-22T10:27:00Z,67.00,35.00
2025-09-22T10:28:00Z,69.00,34.69
2025-09-22T10:29:00Z,68.00,30.00
2025-09-22T10:30:00Z,66.36,33.70
2025-09-22T10:31:00Z,64.82,37.84
2025-09-22T10:32:00Z,64.05,37.93
