# event_ticker=KXATPCHALLENGERMATCH-26FEB23SQUPIR
# final_score=7-5 7-6(5)
# score_resolution=5-7 6-7
# match_winner=Zsombor Piros
# fav_player=Henri Squire
# dog_player=Zsombor Piros
# kalshi_date=2026-02-23
timestamp,Henri Squire,Zsombor Piros
2026-02-23T17:37:00Z,54.39,50.46
2026-02-23T17:38:00Z,53.95,49.60
2026-02-23T17:39:00Z,47.00,51.49
2026-02-23T17:40:00Z,48.63,53.22
2026-02-23T17:41:00Z,49.25,51.39
2026-02-23T17:42:00Z,51.17,49.20
2026-02-23T17:43:00Z,60.07,46.09
2026-02-23T17:44:00Z,62.51,39.14
2026-02-23T17:45:00Z,64.68,37.58
2026-02-23T17:46:00Z,65.09,42.06
2026-02-23T17:47:00Z,56.64,51.36
2026-02-23T17:48:00Z,54.63,48.86
2026-02-23T17:49:00Z,51.41,48.97
2026-02-23T17:50:00Z,53.84,48.00
2026-02-23T17:51:00Z,55.51,43.97
2026-02-23T17:52:00Z,60.02,42.44
2026-02-23T17:53:00Z,55.96,47.52
2026-02-23T17:54:00Z,54.72,47.94
2026-02-23T17:55:00Z,57.48,43.94
2026-02-23T17:56:00Z,57.33,44.84
2026-02-23T17:57:00Z,59.66,43.16
2026-02-23T17:58:00Z,57.55,41.42
2026-02-23T17:59:00Z,54.84,46.58
2026-02-23T18:00:00Z,53.23,46.46
2026-02-23T18:01:00Z,48.08,57.41
2026-02-23T18:02:00Z,32.91,68.35
2026-02-23T18:03:00Z,28.93,71.13
2026-02-23T18:04:00Z,28.35,70.47
2026-02-23T18:05:00Z,31.25,69.78
2026-02-23T18:06:00Z,41.98,61.67
2026-02-23T18:07:00Z,41.17,58.73
2026-02-23T18:08:00Z,45.23,57.41
2026-02-23T18:09:00Z,46.62,55.35
2026-02-23T18:10:00Z,48.90,54.27
2026-02-23T18:11:00Z,46.95,54.81
2026-02-23T18:12:00Z,44.55,61.42
2026-02-23T18:13:00Z,43.76,60.97
2026-02-23T18:14:00Z,45.31,55.49
2026-02-23T18:15:00Z,45.91,55.95
2026-02-23T18:16:00Z,44.35,58.97
2026-02-23T18:17:00Z,46.33,55.51
2026-02-23T18:18:00Z,44.33,57.30
2026-02-23T18:19:00Z,45.00,57.00
2026-02-23T18:20:00Z,45.00,57.60
2026-02-23T18:21:00Z,46.47,54.64
2026-02-23T18:22:00Z,47.82,54.81
2026-02-23T18:23:00Z,51.03,52.37
2026-02-23T18:24:00Z,51.68,51.84
2026-02-23T18:25:00Z,46.43,55.66
2026-02-23T18:26:00Z,45.56,55.64
2026-02-23T18:27:00Z,43.63,58.52
2026-02-23T18:28:00Z,47.16,53.54
2026-02-23T18:29:00Z,49.83,49.22
2026-02-23T18:30:00Z,48.13,52.14
2026-02-23T18:31:00Z,48.58,52.57
2026-02-23T18:32:00Z,48.71,50.07
2026-02-23T18:33:00Z,49.96,52.63
2026-02-23T18:34:00Z,44.79,55.42
2026-02-23T18:35:00Z,37.43,62.60
2026-02-23T18:36:00Z,34.28,62.63
2026-02-23T18:37:00Z,41.71,60.97
2026-02-23T18:38:00Z,28.95,69.89
2026-02-23T18:39:00Z,21.75,79.77
2026-02-23T18:40:00Z,18.07,80.66
2026-02-23T18:41:00Z,20.94,80.80
2026-02-23T18:42:00Z,20.55,81.56
