# event_ticker=KXATPMATCH-25OCT15COLCOM
# final_score=7-5 3-6 7-6(10)
# score_resolution=5-7 6-3 6-7
# match_winner=Raphael Collignon
# fav_player=Francisco Comesana
# dog_player=Raphael Collignon
# kalshi_date=2025-10-15
timestamp,Francisco Comesana,Raphael Collignon
2025-10-15T17:24:00Z,39.30,62.04
2025-10-15T17:25:00Z,38.95,62.31
2025-10-15T17:26:00Z,40.56,61.00
2025-10-15T17:27:00Z,42.02,54.10
2025-10-15T17:28:00Z,42.19,54.74
2025-10-15T17:29:00Z,41.13,60.73
2025-10-15T17:30:00Z,39.97,60.08
2025-10-15T17:31:00Z,42.63,60.85
2025-10-15T17:32:00Z,41.16,61.64
2025-10-15T17:33:00Z,42.16,61.43
2025-10-15T17:34:00Z,44.93,56.68
2025-10-15T17:35:00Z,44.04,57.45
2025-10-15T17:36:00Z,41.24,59.00
2025-10-15T17:37:00Z,42.00,59.00
2025-10-15T17:38:00Z,40.80,59.00
2025-10-15T17:39:00Z,42.00,59.00
2025-10-15T17:40:00Z,42.58,58.09
2025-10-15T17:41:00Z,42.93,59.00
2025-10-15T17:42:00Z,41.59,59.04
2025-10-15T17:43:00Z,42.17,60.44
2025-10-15T17:44:00Z,41.01,61.91
2025-10-15T17:45:00Z,41.29,60.40
2025-10-15T17:46:00Z,40.59,59.32
2025-10-15T17:47:00Z,36.07,63.31
2025-10-15T17:48:00Z,34.18,65.60
2025-10-15T17:49:00Z,41.29,61.70
2025-10-15T17:50:00Z,43.40,58.17
2025-10-15T17:51:00Z,48.94,51.78
2025-10-15T17:52:00Z,42.92,56.73
2025-10-15T17:53:00Z,48.93,53.68
2025-10-15T17:54:00Z,42.34,58.16
2025-10-15T17:55:00Z,38.87,61.55
2025-10-15T17:56:00Z,40.34,62.00
2025-10-15T17:57:00Z,45.19,58.10
2025-10-15T17:58:00Z,46.86,53.01
2025-10-15T17:59:00Z,45.47,54.62
2025-10-15T18:00:00Z,45.39,54.99
2025-10-15T18:01:00Z,42.17,59.52
2025-10-15T18:02:00Z,39.85,62.26
2025-10-15T18:03:00Z,39.16,62.31
2025-10-15T18:04:00Z,42.60,59.60
2025-10-15T18:05:00Z,42.95,62.60
2025-10-15T18:06:00Z,44.24,59.96
2025-10-15T18:07:00Z,43.36,59.25
2025-10-15T18:08:00Z,37.87,61.90
2025-10-15T18:09:00Z,37.80,62.62
2025-10-15T18:10:00Z,39.35,60.26
2025-10-15T18:11:00Z,38.67,62.14
2025-10-15T18:12:00Z,40.71,61.71
2025-10-15T18:13:00Z,41.26,59.59
2025-10-15T18:14:00Z,43.31,59.19
2025-10-15T18:15:00Z,38.66,61.81
2025-10-15T18:16:00Z,44.10,56.30
2025-10-15T18:17:00Z,50.23,51.14
2025-10-15T18:18:00Z,43.82,58.12
2025-10-15T18:19:00Z,35.59,63.92
2025-10-15T18:20:00Z,36.89,65.59
2025-10-15T18:21:00Z,35.81,60.83
2025-10-15T18:22:00Z,28.18,72.59
2025-10-15T18:23:00Z,33.32,68.44
2025-10-15T18:24:00Z,43.21,59.44
2025-10-15T18:25:00Z,39.23,61.22
2025-10-15T18:26:00Z,34.35,65.16
2025-10-15T18:27:00Z,33.75,65.85
2025-10-15T18:28:00Z,32.27,67.68
2025-10-15T18:29:00Z,29.55,70.26
2025-10-15T18:30:00Z,38.82,62.11
2025-10-15T18:31:00Z,42.60,57.18
2025-10-15T18:32:00Z,52.93,51.13
2025-10-15T18:33:00Z,44.96,51.85
2025-10-15T18:34:00Z,21.77,73.66
2025-10-15T18:35:00Z,25.19,77.18
2025-10-15T18:36:00Z,49.38,44.62
2025-10-15T18:37:00Z,46.14,52.66
2025-10-15T18:38:00Z,22.05,79.80
2025-10-15T18:39:00Z,9.58,87.88
2025-10-15T18:40:00Z,28.22,68.54
2025-10-15T18:41:00Z,34.17,65.06
2025-10-15T18:42:00Z,33.44,72.59
2025-10-15T18:43:00Z,37.83,65.45
2025-10-15T18:44:00Z,40.16,61.75
2025-10-15T18:45:00Z,55.91,47.10
2025-10-15T18:46:00Z,31.72,68.14
2025-10-15T18:47:00Z,1.98,93.62
2025-10-15T18:48:00Z,1.98,99.00
2025-10-15T18:49:00Z,1.98,99.00
2025-10-15T18:50:00Z,1.98,99.00
2025-10-15T18:51:00Z,1.98,99.00
2025-10-15T18:52:00Z,1.98,99.00
2025-10-15T18:53:00Z,1.98,99.00
2025-10-15T18:54:00Z,1.98,99.00
2025-10-15T18:55:00Z,1.98,99.00
2025-10-15T18:56:00Z,1.98,99.00
