# event_ticker=KXATPMATCH-26FEB22POPMAJ
# final_score=3-6 6-3 7-5
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Kamil Majchrzak
# kalshi_date=2026-02-22
timestamp,Alexei Popyrin,Kamil Majchrzak
2026-02-24T16:23:00Z,28.30,72.25
2026-02-24T16:24:00Z,29.56,72.22
2026-02-24T16:25:00Z,28.15,71.83
2026-02-24T16:26:00Z,28.04,72.88
2026-02-24T16:27:00Z,28.78,73.70
2026-02-24T16:28:00Z,31.34,70.00
2026-02-24T16:29:00Z,32.44,68.99
2026-02-24T16:30:00Z,35.76,62.95
2026-02-24T16:31:00Z,39.44,63.04
2026-02-24T16:32:00Z,47.63,52.27
2026-02-24T16:33:00Z,51.68,48.99
2026-02-24T16:34:00Z,54.08,46.83
2026-02-24T16:35:00Z,54.06,46.96
2026-02-24T16:36:00Z,55.73,44.71
2026-02-24T16:37:00Z,58.60,42.05
2026-02-24T16:38:00Z,62.98,38.39
2026-02-24T16:39:00Z,65.33,35.01
2026-02-24T16:40:00Z,65.99,35.40
2026-02-24T16:41:00Z,65.99,34.22
2026-02-24T16:42:00Z,65.98,34.86
2026-02-24T16:43:00Z,66.04,34.99
2026-02-24T16:44:00Z,66.06,34.17
2026-02-24T16:45:00Z,67.88,34.89
2026-02-24T16:46:00Z,69.02,33.99
2026-02-24T16:47:00Z,67.55,30.84
2026-02-24T16:48:00Z,66.34,34.69
2026-02-24T16:49:00Z,64.54,36.32
2026-02-24T16:50:00Z,60.89,38.52
2026-02-24T16:51:00Z,61.13,39.29
2026-02-24T16:52:00Z,62.25,38.55
2026-02-24T16:53:00Z,60.74,40.42
2026-02-24T16:54:00Z,59.29,41.95
2026-02-24T16:55:00Z,60.93,39.80
2026-02-24T16:56:00Z,62.41,38.27
2026-02-24T16:57:00Z,62.70,38.96
2026-02-24T16:58:00Z,62.79,39.13
2026-02-24T16:59:00Z,60.33,43.16
2026-02-24T17:00:00Z,54.96,46.84
2026-02-24T17:01:00Z,55.70,47.20
2026-02-24T17:02:00Z,58.86,44.06
2026-02-24T17:03:00Z,60.08,41.04
2026-02-24T17:04:00Z,60.48,42.83
2026-02-24T17:05:00Z,57.32,42.29
2026-02-24T17:06:00Z,56.50,45.87
