# event_ticker=KXATPCHALLENGERMATCH-26MAR19TRASQU
# final_score=6-3 6-2
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Henri Squire
# kalshi_date=2026-03-19
timestamp,Stefano Travaglia,Henri Squire
2026-03-19T11:03:00Z,61.00,39.00
2026-03-19T11:05:00Z,63.00,39.00
2026-03-19T11:07:00Z,63.00,39.00
2026-03-19T11:08:00Z,63.43,39.00
2026-03-19T11:09:00Z,63.43,39.00
2026-03-19T11:11:00Z,62.00,39.00
2026-03-19T11:12:00Z,64.00,39.00
2026-03-19T11:14:00Z,63.97,39.00
2026-03-19T11:15:00Z,63.95,39.00
2026-03-19T11:17:00Z,62.00,39.00
2026-03-19T11:18:00Z,63.99,38.00
2026-03-19T11:19:00Z,63.00,38.00
2026-03-19T11:21:00Z,64.47,38.00
2026-03-19T11:22:00Z,64.47,39.00
2026-03-19T11:23:00Z,64.00,38.00
2026-03-19T11:26:00Z,64.00,38.00
2026-03-19T11:27:00Z,65.00,38.00
2026-03-19T11:30:00Z,64.00,38.00
2026-03-19T11:32:00Z,64.00,38.00
2026-03-19T11:33:00Z,64.00,38.00
2026-03-19T11:35:00Z,64.00,38.00
2026-03-19T11:36:00Z,64.98,38.00
2026-03-19T11:38:00Z,65.00,38.00
2026-03-19T11:39:00Z,65.00,36.59
2026-03-19T11:40:00Z,65.00,36.59
2026-03-19T11:41:00Z,65.00,36.00
2026-03-19T11:42:00Z,65.00,36.00
2026-03-19T11:43:00Z,65.00,38.00
2026-03-19T11:44:00Z,65.00,38.00
2026-03-19T11:45:00Z,65.00,38.00
2026-03-19T11:46:00Z,65.00,38.00
2026-03-19T11:47:00Z,65.00,37.00
2026-03-19T11:48:00Z,65.00,37.00
2026-03-19T11:49:00Z,65.00,37.00
2026-03-19T11:50:00Z,65.00,38.00
2026-03-19T11:51:00Z,64.00,38.00
2026-03-19T11:52:00Z,64.02,38.00
2026-03-19T11:53:00Z,64.00,38.00
2026-03-19T11:54:00Z,64.00,38.00
2026-03-19T11:55:00Z,65.00,38.00
2026-03-19T11:56:00Z,65.00,37.00
2026-03-19T11:57:00Z,65.00,38.00
2026-03-19T11:58:00Z,65.00,37.05
2026-03-19T11:59:00Z,65.00,37.91
2026-03-19T12:00:00Z,65.00,37.08
2026-03-19T12:01:00Z,66.00,37.60
2026-03-19T12:02:00Z,65.25,37.00
2026-03-19T12:03:00Z,63.07,37.75
2026-03-19T12:04:00Z,65.00,37.63
2026-03-19T12:05:00Z,65.00,38.00
2026-03-19T12:06:00Z,65.00,37.98
2026-03-19T12:07:00Z,65.58,36.82
2026-03-19T12:08:00Z,66.91,36.82
2026-03-19T12:09:00Z,67.11,37.16
2026-03-19T12:10:00Z,65.84,38.07
2026-03-19T12:11:00Z,66.00,37.04
2026-03-19T12:12:00Z,66.00,37.00
2026-03-19T12:13:00Z,65.28,37.75
2026-03-19T12:14:00Z,64.69,37.37
2026-03-19T12:15:00Z,63.40,38.58
2026-03-19T12:16:00Z,64.35,38.50
2026-03-19T12:17:00Z,61.94,38.90
2026-03-19T12:18:00Z,64.61,36.37
2026-03-19T12:19:00Z,67.76,34.92
2026-03-19T12:20:00Z,68.97,34.00
2026-03-19T12:21:00Z,65.75,35.17
2026-03-19T12:22:00Z,67.40,35.50
2026-03-19T12:23:00Z,65.02,35.04
2026-03-19T12:24:00Z,64.90,38.04
2026-03-19T12:25:00Z,57.61,43.71
2026-03-19T12:26:00Z,61.29,42.02
2026-03-19T12:27:00Z,55.51,46.08
2026-03-19T12:28:00Z,53.32,47.47
2026-03-19T12:29:00Z,50.29,49.02
2026-03-19T12:30:00Z,48.95,53.07
2026-03-19T12:31:00Z,48.55,53.08
2026-03-19T12:32:00Z,52.64,44.36
2026-03-19T12:33:00Z,63.85,36.83
2026-03-19T12:34:00Z,68.93,32.79
2026-03-19T12:35:00Z,71.93,27.99
2026-03-19T12:36:00Z,72.43,28.39
2026-03-19T12:37:00Z,73.44,27.18
2026-03-19T12:38:00Z,75.00,25.55
2026-03-19T12:39:00Z,76.09,25.93
2026-03-19T12:40:00Z,83.34,17.77
2026-03-19T12:41:00Z,84.50,16.27
2026-03-19T12:42:00Z,86.29,13.92
2026-03-19T12:43:00Z,87.80,12.14
2026-03-19T12:44:00Z,88.10,12.00
2026-03-19T12:45:00Z,90.02,12.32
