# event_ticker=KXATPMATCH-26FEB11BUSBAE
# final_score=6-4 6-3
# match_winner=Sebastian Baez
# fav_player=Sebastian Baez
# dog_player=Ignacio Buse
# kalshi_date=2026-02-11
timestamp,Sebastian Baez,Ignacio Buse
2026-02-12T21:50:00Z,67.20,34.38
2026-02-12T21:51:00Z,65.71,34.97
2026-02-12T21:52:00Z,66.00,34.79
2026-02-12T21:53:00Z,68.05,32.86
2026-02-12T21:54:00Z,70.08,31.02
2026-02-12T21:55:00Z,70.78,30.09
2026-02-12T21:56:00Z,70.27,30.39
2026-02-12T21:57:00Z,71.22,31.49
2026-02-12T21:58:00Z,71.25,29.84
2026-02-12T21:59:00Z,73.30,29.70
2026-02-12T22:00:00Z,71.13,29.54
2026-02-12T22:01:00Z,71.63,29.45
2026-02-12T22:02:00Z,69.12,31.49
2026-02-12T22:03:00Z,69.19,31.09
2026-02-12T22:04:00Z,70.00,31.02
2026-02-12T22:05:00Z,72.46,28.26
2026-02-12T22:06:00Z,74.32,25.98
2026-02-12T22:07:00Z,73.09,29.97
2026-02-12T22:08:00Z,72.43,28.53
2026-02-12T22:09:00Z,77.29,26.19
2026-02-12T22:10:00Z,79.94,23.12
2026-02-12T22:11:00Z,80.88,16.48
2026-02-12T22:12:00Z,86.32,14.84
2026-02-12T22:13:00Z,86.45,14.78
2026-02-12T22:14:00Z,87.90,12.74
2026-02-12T22:15:00Z,87.86,11.48
2026-02-12T22:16:00Z,89.74,11.60
2026-02-12T22:17:00Z,88.48,12.37
2026-02-12T22:18:00Z,88.30,12.24
2026-02-12T22:19:00Z,88.30,12.60
2026-02-12T22:20:00Z,87.99,12.79
2026-02-12T22:21:00Z,88.37,12.25
2026-02-12T22:22:00Z,86.48,14.37
2026-02-12T22:23:00Z,88.30,11.12
2026-02-12T22:24:00Z,89.01,10.73
2026-02-12T22:25:00Z,89.75,9.81
2026-02-12T22:26:00Z,90.02,10.39
2026-02-12T22:27:00Z,90.75,9.98
2026-02-12T22:28:00Z,89.61,11.26
2026-02-12T22:29:00Z,86.42,13.88
2026-02-12T22:30:00Z,86.16,13.75
2026-02-12T22:31:00Z,87.40,12.03
2026-02-12T22:32:00Z,88.97,11.38
2026-02-12T22:33:00Z,87.64,12.29
2026-02-12T22:34:00Z,87.43,13.88
2026-02-12T22:35:00Z,87.00,14.08
2026-02-12T22:36:00Z,87.12,13.48
2026-02-12T22:37:00Z,90.23,9.71
2026-02-12T22:38:00Z,93.13,6.68
2026-02-12T22:39:00Z,95.88,5.39
2026-02-12T22:40:00Z,95.15,5.49
2026-02-12T22:41:00Z,94.73,7.21
2026-02-12T22:42:00Z,89.42,11.30
2026-02-12T22:43:00Z,89.24,11.93
2026-02-12T22:44:00Z,91.38,10.32
2026-02-12T22:45:00Z,92.53,9.35
2026-02-12T22:46:00Z,95.11,4.87
2026-02-12T22:47:00Z,96.00,4.76
2026-02-12T22:48:00Z,95.89,4.72
2026-02-12T22:49:00Z,95.39,5.52
2026-02-12T22:50:00Z,97.27,4.01
2026-02-12T22:51:00Z,97.48,3.77
2026-02-12T22:52:00Z,98.69,2.12
2026-02-12T22:53:00Z,98.52,1.00
2026-02-12T22:54:00Z,98.14,2.60
2026-02-12T22:55:00Z,97.10,3.18
2026-02-12T22:56:00Z,97.21,3.58
2026-02-12T22:57:00Z,97.18,3.22
2026-02-12T22:58:00Z,98.03,2.00
2026-02-12T22:59:00Z,98.09,2.23
2026-02-12T23:00:00Z,98.99,1.35
2026-02-12T23:01:00Z,98.75,1.00
2026-02-12T23:02:00Z,99.00,1.00
2026-02-12T23:03:00Z,99.00,1.00
