# event_ticker=KXATPCHALLENGERMATCH-26APR22SAISAK
# final_score=7-6(6) 7-6(3)
# score_resolution=6-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-22
timestamp,Nikolas Sanchez Izquierdo,Stefanos Sakellaridis
2026-04-22T13:11:00Z,28.18,71.34
2026-04-22T13:12:00Z,30.21,67.90
2026-04-22T13:13:00Z,33.51,69.44
2026-04-22T13:14:00Z,35.33,68.98
2026-04-22T13:15:00Z,28.97,72.00
2026-04-22T13:16:00Z,26.09,74.84
2026-04-22T13:17:00Z,27.82,73.00
2026-04-22T13:18:00Z,22.89,76.81
2026-04-22T13:19:00Z,30.08,74.90
2026-04-22T13:20:00Z,30.56,72.12
2026-04-22T13:21:00Z,30.43,72.22
2026-04-22T13:22:00Z,32.92,70.78
2026-04-22T13:23:00Z,30.90,72.83
2026-04-22T13:24:00Z,25.68,75.57
2026-04-22T13:25:00Z,25.08,75.03
2026-04-22T13:26:00Z,27.45,73.29
2026-04-22T13:27:00Z,25.57,74.91
2026-04-22T13:28:00Z,28.11,75.36
2026-04-22T13:29:00Z,28.68,72.09
2026-04-22T13:30:00Z,27.96,72.03
2026-04-22T13:31:00Z,25.20,73.93
2026-04-22T13:32:00Z,23.96,76.85
2026-04-22T13:33:00Z,24.00,76.43
2026-04-22T13:34:00Z,25.97,74.51
2026-04-22T13:35:00Z,28.81,71.97
2026-04-22T13:36:00Z,29.10,71.49
2026-04-22T13:37:00Z,29.24,72.58
2026-04-22T13:38:00Z,29.76,72.34
2026-04-22T13:39:00Z,30.51,71.97
2026-04-22T13:40:00Z,30.26,72.04
2026-04-22T13:41:00Z,28.59,73.55
2026-04-22T13:42:00Z,26.17,74.90
2026-04-22T13:43:00Z,27.86,73.09
2026-04-22T13:44:00Z,30.29,70.84
2026-04-22T13:45:00Z,30.36,72.31
2026-04-22T13:46:00Z,30.60,71.00
2026-04-22T13:47:00Z,30.00,71.06
2026-04-22T13:48:00Z,36.11,68.11
2026-04-22T13:49:00Z,44.09,58.20
2026-04-22T13:50:00Z,41.93,57.39
2026-04-22T13:51:00Z,28.80,73.86
2026-04-22T13:52:00Z,18.73,83.20
2026-04-22T13:53:00Z,15.52,87.47
2026-04-22T13:54:00Z,19.39,82.93
2026-04-22T13:55:00Z,13.38,86.85
2026-04-22T13:56:00Z,14.46,89.69
2026-04-22T13:57:00Z,7.76,92.45
2026-04-22T13:58:00Z,5.68,94.86
2026-04-22T13:59:00Z,2.95,98.61
2026-04-22T14:00:00Z,1.00,99.00
2026-04-22T14:01:00Z,1.00,99.00
2026-04-22T14:02:00Z,1.00,99.00
2026-04-22T14:03:00Z,1.00,99.00
