# event_ticker=KXATPMATCH-26MAR17MARFON
# final_score=6-4 3-6 6-2
# score_resolution=4-6 6-3 2-6
# match_winner=Joao Fonseca
# fav_player=Fabian Marozsan
# dog_player=Joao Fonseca
# kalshi_date=2026-03-17
timestamp,Fabian Marozsan,Joao Fonseca
2026-03-19T18:37:00Z,29.00,72.64
2026-03-19T18:39:00Z,29.00,72.64
2026-03-19T18:44:00Z,29.00,72.64
2026-03-19T18:46:00Z,29.00,72.00
2026-03-19T18:47:00Z,29.00,72.00
2026-03-19T18:48:00Z,28.00,72.00
2026-03-19T18:49:00Z,29.00,72.00
2026-03-19T18:51:00Z,29.00,72.87
2026-03-19T18:52:00Z,29.00,72.87
2026-03-19T18:53:00Z,29.00,72.98
2026-03-19T18:58:00Z,29.00,73.00
2026-03-19T18:59:00Z,28.00,73.00
2026-03-19T19:00:00Z,28.00,73.00
2026-03-19T19:02:00Z,28.00,72.93
2026-03-19T19:03:00Z,28.00,73.00
2026-03-19T19:04:00Z,28.00,73.00
2026-03-19T19:05:00Z,28.00,73.00
2026-03-19T19:06:00Z,28.00,73.00
2026-03-19T19:07:00Z,28.00,72.04
2026-03-19T19:08:00Z,28.00,72.04
2026-03-19T19:09:00Z,28.00,73.00
2026-03-19T19:12:00Z,28.00,73.00
2026-03-19T19:13:00Z,28.00,73.00
2026-03-19T19:14:00Z,28.00,73.00
2026-03-19T19:16:00Z,28.00,72.94
2026-03-19T19:17:00Z,28.00,73.00
2026-03-19T19:18:00Z,28.00,72.00
2026-03-19T19:19:00Z,28.37,72.00
2026-03-19T19:20:00Z,28.37,73.00
2026-03-19T19:21:00Z,28.00,73.00
2026-03-19T19:22:00Z,28.00,72.38
2026-03-19T19:23:00Z,28.00,71.00
2026-03-19T19:24:00Z,29.00,73.00
2026-03-19T19:25:00Z,29.00,73.00
2026-03-19T19:26:00Z,29.00,73.00
2026-03-19T19:28:00Z,29.00,72.67
2026-03-19T19:30:00Z,29.00,72.90
2026-03-19T19:31:00Z,29.00,73.00
2026-03-19T19:32:00Z,28.00,73.00
2026-03-19T19:34:00Z,28.00,73.00
2026-03-19T19:35:00Z,28.00,73.00
2026-03-19T19:37:00Z,29.00,73.00
2026-03-19T19:38:00Z,29.00,71.00
2026-03-19T19:39:00Z,29.00,73.00
2026-03-19T19:40:00Z,29.00,73.00
2026-03-19T19:41:00Z,29.00,73.00
2026-03-19T19:43:00Z,29.00,73.00
2026-03-19T19:44:00Z,28.00,73.00
2026-03-19T19:45:00Z,29.00,73.00
2026-03-19T19:46:00Z,29.00,73.00
2026-03-19T19:47:00Z,29.00,73.76
2026-03-19T19:48:00Z,29.00,73.00
2026-03-19T19:49:00Z,28.00,73.86
2026-03-19T19:50:00Z,28.00,73.90
2026-03-19T19:51:00Z,28.00,73.00
2026-03-19T19:52:00Z,29.00,73.00
2026-03-19T19:53:00Z,29.00,73.00
2026-03-19T19:54:00Z,29.00,73.00
2026-03-19T19:55:00Z,29.00,73.00
2026-03-19T19:56:00Z,28.00,74.00
2026-03-19T19:57:00Z,28.00,73.77
2026-03-19T19:58:00Z,27.19,73.46
2026-03-19T19:59:00Z,28.69,72.62
2026-03-19T20:00:00Z,30.00,70.94
2026-03-19T20:01:00Z,30.90,69.16
2026-03-19T20:02:00Z,30.15,68.10
2026-03-19T20:03:00Z,30.35,70.00
2026-03-19T20:04:00Z,33.00,69.20
2026-03-19T20:05:00Z,35.95,66.44
2026-03-19T20:06:00Z,30.44,68.03
2026-03-19T20:07:00Z,31.91,70.25
2026-03-19T20:08:00Z,28.51,75.27
2026-03-19T20:09:00Z,28.86,73.60
2026-03-19T20:10:00Z,18.28,79.47
2026-03-19T20:11:00Z,18.00,83.00
2026-03-19T20:12:00Z,16.95,84.38
2026-03-19T20:13:00Z,13.21,84.84
2026-03-19T20:14:00Z,14.98,86.00
2026-03-19T20:15:00Z,13.01,86.21
2026-03-19T20:16:00Z,14.13,84.00
2026-03-19T20:17:00Z,15.15,86.06
2026-03-19T20:18:00Z,14.05,85.96
2026-03-19T20:19:00Z,16.00,85.00
2026-03-19T20:20:00Z,17.81,85.00
2026-03-19T20:21:00Z,17.16,83.01
2026-03-19T20:22:00Z,15.50,85.92
2026-03-19T20:23:00Z,14.00,85.92
2026-03-19T20:24:00Z,14.83,86.79
2026-03-19T20:25:00Z,16.00,86.00
2026-03-19T20:27:00Z,16.00,85.00
2026-03-19T20:28:00Z,15.76,87.00
2026-03-19T20:29:00Z,15.00,86.00
2026-03-19T20:30:00Z,15.13,86.00
2026-03-19T20:31:00Z,15.00,85.00
2026-03-19T20:32:00Z,15.00,85.88
2026-03-19T20:33:00Z,16.00,85.00
2026-03-19T20:34:00Z,15.23,85.00
2026-03-19T20:35:00Z,15.85,86.69
2026-03-19T20:36:00Z,15.09,84.56
2026-03-19T20:37:00Z,18.63,80.12
2026-03-19T20:38:00Z,15.37,84.93
2026-03-19T20:39:00Z,12.73,87.99
2026-03-19T20:40:00Z,13.00,86.70
2026-03-19T20:41:00Z,12.81,88.95
2026-03-19T20:42:00Z,7.24,90.61
2026-03-19T20:43:00Z,7.05,94.47
2026-03-19T20:44:00Z,11.94,90.21
2026-03-19T20:45:00Z,13.96,86.97
2026-03-19T20:46:00Z,13.91,87.77
2026-03-19T20:47:00Z,15.59,86.10
2026-03-19T20:48:00Z,14.15,86.98
2026-03-19T20:49:00Z,14.06,86.02
2026-03-19T20:50:00Z,14.47,85.32
2026-03-19T20:51:00Z,15.36,85.00
2026-03-19T20:52:00Z,14.34,85.61
2026-03-19T20:53:00Z,13.36,89.00
2026-03-19T20:54:00Z,15.86,85.05
2026-03-19T20:55:00Z,16.41,84.68
2026-03-19T20:56:00Z,17.00,84.00
2026-03-19T20:57:00Z,18.10,84.00
2026-03-19T20:58:00Z,17.15,83.90
2026-03-19T20:59:00Z,17.11,83.63
2026-03-19T21:00:00Z,23.31,79.15
2026-03-19T21:01:00Z,30.01,70.50
2026-03-19T21:02:00Z,30.50,70.93
2026-03-19T21:03:00Z,33.56,69.34
2026-03-19T21:04:00Z,31.36,69.25
2026-03-19T21:05:00Z,33.17,68.00
2026-03-19T21:06:00Z,33.23,68.99
2026-03-19T21:07:00Z,32.36,69.00
2026-03-19T21:08:00Z,32.25,67.91
2026-03-19T21:09:00Z,33.62,70.80
2026-03-19T21:10:00Z,33.48,69.21
2026-03-19T21:11:00Z,35.91,64.97
2026-03-19T21:12:00Z,36.29,64.08
2026-03-19T21:13:00Z,38.50,61.10
2026-03-19T21:14:00Z,40.13,58.25
2026-03-19T21:15:00Z,36.97,64.27
2026-03-19T21:16:00Z,39.52,61.65
2026-03-19T21:17:00Z,40.79,58.44
2026-03-19T21:18:00Z,40.44,59.86
2026-03-19T21:19:00Z,40.95,60.01
2026-03-19T21:20:00Z,36.43,60.87
2026-03-19T21:21:00Z,34.96,65.74
2026-03-19T21:22:00Z,34.84,65.28
2026-03-19T21:23:00Z,32.75,64.71
2026-03-19T21:24:00Z,34.04,68.36
2026-03-19T21:25:00Z,28.33,76.07
2026-03-19T21:26:00Z,12.19,88.19
2026-03-19T21:27:00Z,14.71,86.83
2026-03-19T21:28:00Z,15.96,83.65
2026-03-19T21:29:00Z,13.27,89.33
2026-03-19T21:30:00Z,8.35,91.46
2026-03-19T21:31:00Z,8.59,91.99
2026-03-19T21:32:00Z,7.31,92.39
2026-03-19T21:33:00Z,8.44,91.06
2026-03-19T21:34:00Z,7.48,92.47
2026-03-19T21:35:00Z,5.06,94.71
2026-03-19T21:36:00Z,4.41,94.95
2026-03-19T21:37:00Z,5.97,94.37
2026-03-19T21:38:00Z,5.00,93.84
2026-03-19T21:39:00Z,5.09,95.98
2026-03-19T21:40:00Z,6.50,94.41
2026-03-19T21:41:00Z,7.41,93.08
2026-03-19T21:42:00Z,4.38,95.41
2026-03-19T21:43:00Z,2.87,97.49
2026-03-19T21:44:00Z,2.80,97.35
2026-03-19T21:45:00Z,2.93,96.79
2026-03-19T21:46:00Z,1.98,98.90
2026-03-19T21:47:00Z,1.02,98.94
2026-03-19T21:48:00Z,1.37,98.61
2026-03-19T21:49:00Z,1.37,99.00
2026-03-19T21:50:00Z,1.37,99.00
2026-03-19T21:51:00Z,1.37,99.00
2026-03-19T21:52:00Z,1.37,99.00
