# event_ticker=KXATPMATCH-26APR24NORMAC
# final_score=6-2 6-7(6) 7-6(5)
# score_resolution=2-6 7-6 6-7
# match_winner=Cameron Norrie
# fav_player=Tomas Machac
# dog_player=Cameron Norrie
# kalshi_date=2026-04-24
timestamp,Cameron Norrie,Tomas Machac
2026-04-24T16:39:00Z,44.95,57.58
2026-04-24T16:40:00Z,53.62,48.66
2026-04-24T16:41:00Z,58.12,43.01
2026-04-24T16:42:00Z,60.66,40.30
2026-04-24T16:43:00Z,61.96,39.22
2026-04-24T16:44:00Z,61.99,39.18
2026-04-24T16:45:00Z,62.33,39.77
2026-04-24T16:46:00Z,65.03,35.88
2026-04-24T16:47:00Z,65.17,37.04
2026-04-24T16:48:00Z,64.30,37.95
2026-04-24T16:49:00Z,63.84,38.02
2026-04-24T16:50:00Z,67.48,34.06
2026-04-24T16:51:00Z,66.07,35.53
2026-04-24T16:52:00Z,63.42,37.87
2026-04-24T16:53:00Z,62.89,38.00
2026-04-24T16:54:00Z,61.43,39.80
2026-04-24T16:55:00Z,62.54,41.27
2026-04-24T16:56:00Z,63.33,41.94
2026-04-24T16:57:00Z,65.74,35.49
2026-04-24T16:58:00Z,63.94,36.41
2026-04-24T16:59:00Z,61.76,38.13
2026-04-24T17:00:00Z,62.00,39.00
2026-04-24T17:01:00Z,62.05,38.68
2026-04-24T17:02:00Z,60.55,41.44
2026-04-24T17:03:00Z,64.04,39.07
2026-04-24T17:04:00Z,65.00,36.02
2026-04-24T17:05:00Z,64.97,36.40
2026-04-24T17:06:00Z,68.93,33.21
2026-04-24T17:07:00Z,73.26,26.05
2026-04-24T17:08:00Z,73.97,25.93
2026-04-24T17:09:00Z,74.10,26.37
2026-04-24T17:10:00Z,74.94,24.46
2026-04-24T17:11:00Z,73.13,27.79
2026-04-24T17:12:00Z,74.24,27.73
2026-04-24T17:13:00Z,74.80,26.29
2026-04-24T17:14:00Z,74.78,26.65
2026-04-24T17:15:00Z,74.74,26.19
2026-04-24T17:16:00Z,74.31,24.82
2026-04-24T17:17:00Z,74.65,26.55
2026-04-24T17:18:00Z,73.81,28.09
2026-04-24T17:19:00Z,70.88,29.71
2026-04-24T17:20:00Z,71.85,29.84
2026-04-24T17:21:00Z,68.52,32.91
2026-04-24T17:22:00Z,64.98,35.16
2026-04-24T17:23:00Z,69.15,30.60
2026-04-24T17:24:00Z,72.80,29.72
2026-04-24T17:25:00Z,71.52,29.55
2026-04-24T17:26:00Z,68.99,31.64
2026-04-24T17:27:00Z,69.00,32.33
2026-04-24T17:28:00Z,67.12,32.01
2026-04-24T17:29:00Z,70.10,31.80
2026-04-24T17:30:00Z,70.94,30.27
2026-04-24T17:31:00Z,71.61,29.69
2026-04-24T17:32:00Z,67.54,30.62
2026-04-24T17:33:00Z,68.00,33.84
2026-04-24T17:34:00Z,68.09,34.46
2026-04-24T17:35:00Z,64.88,36.34
2026-04-24T17:36:00Z,58.13,42.12
2026-04-24T17:37:00Z,60.55,41.92
2026-04-24T17:38:00Z,60.99,42.23
2026-04-24T17:39:00Z,65.17,36.84
2026-04-24T17:40:00Z,67.91,33.18
2026-04-24T17:41:00Z,66.61,35.98
2026-04-24T17:42:00Z,62.93,37.88
2026-04-24T17:43:00Z,63.55,38.00
2026-04-24T17:44:00Z,60.84,40.98
2026-04-24T17:45:00Z,54.43,46.10
2026-04-24T17:46:00Z,55.78,44.19
2026-04-24T17:47:00Z,54.60,43.46
2026-04-24T17:48:00Z,63.01,37.88
2026-04-24T17:49:00Z,65.92,34.32
2026-04-24T17:50:00Z,69.57,30.80
2026-04-24T17:51:00Z,70.33,31.20
2026-04-24T17:52:00Z,68.15,35.15
2026-04-24T17:53:00Z,68.67,31.94
2026-04-24T17:54:00Z,64.41,36.70
2026-04-24T17:55:00Z,62.36,38.42
2026-04-24T17:56:00Z,63.05,39.10
2026-04-24T17:57:00Z,62.61,40.43
2026-04-24T17:58:00Z,51.91,46.96
2026-04-24T17:59:00Z,55.73,44.96
2026-04-24T18:00:00Z,60.26,38.63
2026-04-24T18:01:00Z,67.28,34.08
2026-04-24T18:02:00Z,69.43,32.06
2026-04-24T18:03:00Z,69.26,33.31
2026-04-24T18:04:00Z,70.69,30.16
2026-04-24T18:05:00Z,62.76,37.56
2026-04-24T18:06:00Z,62.24,37.80
2026-04-24T18:07:00Z,65.00,36.48
2026-04-24T18:08:00Z,58.41,43.06
2026-04-24T18:09:00Z,66.30,36.04
2026-04-24T18:10:00Z,74.40,25.15
2026-04-24T18:11:00Z,66.90,31.96
2026-04-24T18:12:00Z,58.00,42.18
2026-04-24T18:13:00Z,76.61,24.05
2026-04-24T18:14:00Z,73.28,27.17
2026-04-24T18:15:00Z,71.96,27.16
2026-04-24T18:16:00Z,80.88,21.71
2026-04-24T18:17:00Z,80.46,20.92
2026-04-24T18:18:00Z,75.04,27.71
2026-04-24T18:19:00Z,71.59,30.20
2026-04-24T18:20:00Z,54.08,49.73
2026-04-24T18:21:00Z,42.31,57.24
2026-04-24T18:22:00Z,42.61,56.20
2026-04-24T18:23:00Z,42.96,56.28
2026-04-24T18:24:00Z,43.16,56.59
2026-04-24T18:25:00Z,45.17,55.02
2026-04-24T18:26:00Z,49.82,50.78
2026-04-24T18:27:00Z,48.26,53.24
2026-04-24T18:28:00Z,46.54,55.41
2026-04-24T18:29:00Z,50.87,53.90
2026-04-24T18:30:00Z,46.36,55.74
2026-04-24T18:31:00Z,41.64,60.75
2026-04-24T18:32:00Z,33.00,65.41
2026-04-24T18:33:00Z,42.70,55.82
2026-04-24T18:34:00Z,43.98,58.06
2026-04-24T18:35:00Z,38.05,62.74
2026-04-24T18:36:00Z,37.62,62.61
2026-04-24T18:37:00Z,38.18,64.41
2026-04-24T18:38:00Z,44.23,55.30
2026-04-24T18:39:00Z,51.06,49.56
2026-04-24T18:40:00Z,51.97,48.41
2026-04-24T18:41:00Z,51.16,49.81
2026-04-24T18:42:00Z,50.15,51.00
2026-04-24T18:43:00Z,46.43,53.88
2026-04-24T18:44:00Z,47.33,52.52
