# event_ticker=KXATPMATCH-26APR05ETCDIM
# final_score=6-4 2-6 6-3
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Grigor Dimitrov
# kalshi_date=2026-04-05
timestamp,Tomas Martin Etcheverry,Grigor Dimitrov
2026-04-07T05:38:00Z,64.00,39.00
2026-04-07T05:39:00Z,64.00,39.00
2026-04-07T05:41:00Z,64.00,39.00
2026-04-07T05:42:00Z,64.00,39.00
2026-04-07T05:43:00Z,64.00,39.00
2026-04-07T05:44:00Z,64.00,39.00
2026-04-07T05:45:00Z,63.98,39.00
2026-04-07T05:46:00Z,64.00,39.00
2026-04-07T05:47:00Z,64.00,39.00
2026-04-07T05:49:00Z,64.00,39.00
2026-04-07T05:50:00Z,63.10,39.00
2026-04-07T05:51:00Z,64.00,39.00
2026-04-07T05:52:00Z,64.00,39.00
2026-04-07T05:54:00Z,64.00,39.00
2026-04-07T05:55:00Z,64.00,39.00
2026-04-07T05:56:00Z,64.00,39.00
2026-04-07T05:57:00Z,64.00,39.00
2026-04-07T05:58:00Z,64.00,39.00
2026-04-07T05:59:00Z,63.72,39.00
2026-04-07T06:00:00Z,63.00,39.00
2026-04-07T06:01:00Z,63.00,39.00
2026-04-07T06:02:00Z,63.00,39.00
2026-04-07T06:03:00Z,63.00,39.00
2026-04-07T06:04:00Z,62.00,39.00
2026-04-07T06:05:00Z,62.58,39.00
2026-04-07T06:08:00Z,62.00,39.00
2026-04-07T06:09:00Z,63.00,39.00
2026-04-07T06:12:00Z,63.00,39.00
2026-04-07T06:14:00Z,63.00,39.00
2026-04-07T06:15:00Z,63.00,39.00
2026-04-07T06:16:00Z,63.00,39.00
2026-04-07T06:17:00Z,63.00,39.00
2026-04-07T06:18:00Z,63.00,39.00
2026-04-07T06:19:00Z,63.21,39.00
2026-04-07T06:22:00Z,63.00,39.00
2026-04-07T06:23:00Z,63.00,39.96
2026-04-07T06:25:00Z,63.00,40.00
2026-04-07T06:26:00Z,63.00,40.00
2026-04-07T06:27:00Z,63.00,40.00
2026-04-07T06:30:00Z,62.94,40.00
2026-04-07T06:31:00Z,62.94,40.00
2026-04-07T06:32:00Z,63.00,40.00
2026-04-07T06:36:00Z,62.00,40.00
2026-04-07T06:37:00Z,62.00,40.00
2026-04-07T06:42:00Z,63.00,40.00
2026-04-07T06:43:00Z,63.00,40.00
2026-04-07T06:49:00Z,62.38,40.00
2026-04-07T06:50:00Z,62.86,40.00
2026-04-07T06:51:00Z,63.00,40.00
2026-04-07T06:53:00Z,63.00,40.00
2026-04-07T06:55:00Z,62.00,40.00
