# event_ticker=KXATPCHALLENGERMATCH-26MAY01BUSTAB
# final_score=6-4 6-0
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Ignacio Buse
# kalshi_date=2026-05-01
timestamp,Ignacio Buse,Alejandro Tabilo
2026-05-01T15:45:00Z,42.21,57.31
2026-05-01T15:46:00Z,43.00,60.00
2026-05-01T15:47:00Z,43.00,60.00
2026-05-01T15:48:00Z,42.73,60.00
2026-05-01T15:49:00Z,42.10,60.00
2026-05-01T15:50:00Z,42.00,60.00
2026-05-01T15:51:00Z,40.39,60.00
2026-05-01T15:52:00Z,42.36,60.00
2026-05-01T15:53:00Z,42.00,60.00
2026-05-01T15:54:00Z,42.00,59.88
2026-05-01T15:55:00Z,42.00,60.00
2026-05-01T15:56:00Z,41.96,60.00
2026-05-01T15:57:00Z,42.00,60.00
2026-05-01T15:58:00Z,42.00,60.00
2026-05-01T15:59:00Z,42.00,60.00
2026-05-01T16:00:00Z,40.92,60.00
2026-05-01T16:01:00Z,43.00,60.00
2026-05-01T16:02:00Z,42.00,60.00
2026-05-01T16:03:00Z,42.00,60.00
2026-05-01T16:04:00Z,42.00,59.96
2026-05-01T16:05:00Z,42.00,60.00
2026-05-01T16:06:00Z,42.00,60.00
2026-05-01T16:07:00Z,42.00,60.00
2026-05-01T16:08:00Z,42.00,60.00
2026-05-01T16:09:00Z,40.00,60.00
2026-05-01T16:10:00Z,41.43,59.43
2026-05-01T16:11:00Z,44.89,56.37
2026-05-01T16:12:00Z,44.00,57.27
2026-05-01T16:13:00Z,44.92,56.00
2026-05-01T16:14:00Z,46.07,59.57
2026-05-01T16:15:00Z,44.68,57.75
2026-05-01T16:16:00Z,43.91,56.39
2026-05-01T16:17:00Z,45.63,52.37
2026-05-01T16:18:00Z,45.25,57.25
2026-05-01T16:19:00Z,42.02,59.45
2026-05-01T16:20:00Z,41.59,57.90
2026-05-01T16:21:00Z,41.19,58.17
2026-05-01T16:22:00Z,41.12,58.83
2026-05-01T16:23:00Z,42.26,59.86
2026-05-01T16:24:00Z,44.57,58.90
2026-05-01T16:25:00Z,42.16,60.28
2026-05-01T16:26:00Z,39.90,62.78
2026-05-01T16:27:00Z,36.87,65.91
2026-05-01T16:28:00Z,39.99,60.96
2026-05-01T16:29:00Z,39.66,63.98
2026-05-01T16:30:00Z,42.11,59.77
2026-05-01T16:31:00Z,42.99,59.72
2026-05-01T16:32:00Z,44.96,56.49
2026-05-01T16:33:00Z,46.92,53.90
2026-05-01T16:34:00Z,50.62,50.01
2026-05-01T16:35:00Z,47.82,53.13
2026-05-01T16:36:00Z,49.39,51.35
2026-05-01T16:37:00Z,43.43,56.98
2026-05-01T16:38:00Z,42.24,58.93
2026-05-01T16:39:00Z,42.37,58.25
2026-05-01T16:40:00Z,43.46,58.13
2026-05-01T16:41:00Z,42.44,59.19
2026-05-01T16:42:00Z,40.08,59.30
2026-05-01T16:43:00Z,41.34,58.62
2026-05-01T16:44:00Z,40.64,58.79
2026-05-01T16:45:00Z,41.26,60.47
2026-05-01T16:46:00Z,40.64,61.01
2026-05-01T16:47:00Z,28.95,71.76
2026-05-01T16:48:00Z,25.32,75.57
2026-05-01T16:49:00Z,25.81,76.18
2026-05-01T16:50:00Z,27.33,74.81
2026-05-01T16:51:00Z,25.35,75.87
2026-05-01T16:52:00Z,24.33,75.63
2026-05-01T16:53:00Z,24.50,75.22
2026-05-01T16:54:00Z,24.56,75.71
2026-05-01T16:55:00Z,27.42,73.60
2026-05-01T16:56:00Z,31.74,70.13
2026-05-01T16:57:00Z,40.78,59.62
2026-05-01T16:58:00Z,41.24,58.81
2026-05-01T16:59:00Z,37.94,64.82
2026-05-01T17:00:00Z,27.78,74.64
2026-05-01T17:01:00Z,24.42,75.46
2026-05-01T17:02:00Z,23.75,76.70
2026-05-01T17:03:00Z,20.63,79.72
2026-05-01T17:04:00Z,18.47,81.75
2026-05-01T17:05:00Z,19.68,80.79
2026-05-01T17:06:00Z,21.61,79.28
2026-05-01T17:07:00Z,22.30,78.00
2026-05-01T17:08:00Z,22.95,78.07
2026-05-01T17:09:00Z,20.38,80.67
2026-05-01T17:10:00Z,17.90,82.56
2026-05-01T17:11:00Z,17.98,82.26
2026-05-01T17:12:00Z,17.96,82.70
2026-05-01T17:13:00Z,17.05,82.82
2026-05-01T17:14:00Z,19.47,80.46
2026-05-01T17:15:00Z,20.47,80.23
2026-05-01T17:16:00Z,19.25,82.91
2026-05-01T17:17:00Z,17.10,82.79
2026-05-01T17:18:00Z,18.61,81.77
2026-05-01T17:19:00Z,15.07,84.98
2026-05-01T17:20:00Z,14.82,83.55
2026-05-01T17:21:00Z,10.63,90.72
2026-05-01T17:22:00Z,8.66,91.17
2026-05-01T17:23:00Z,7.61,91.70
2026-05-01T17:24:00Z,6.44,92.75
2026-05-01T17:25:00Z,7.14,93.59
2026-05-01T17:26:00Z,7.02,93.17
2026-05-01T17:27:00Z,5.00,95.05
2026-05-01T17:28:00Z,4.43,95.18
2026-05-01T17:29:00Z,6.46,94.76
2026-05-01T17:30:00Z,4.95,94.88
2026-05-01T17:31:00Z,4.77,94.60
2026-05-01T17:32:00Z,5.44,95.25
2026-05-01T17:33:00Z,1.73,97.98
2026-05-01T17:34:00Z,1.84,98.17
2026-05-01T17:35:00Z,1.56,98.60
2026-05-01T17:36:00Z,1.80,98.00
2026-05-01T17:37:00Z,2.24,97.54
2026-05-01T17:38:00Z,1.85,97.59
2026-05-01T17:39:00Z,2.36,98.80
2026-05-01T17:40:00Z,2.01,98.88
2026-05-01T17:41:00Z,1.04,98.72
2026-05-01T17:42:00Z,1.00,99.00
2026-05-01T17:43:00Z,1.00,99.00
2026-05-01T17:44:00Z,1.00,99.00
2026-05-01T17:45:00Z,1.00,99.00
2026-05-01T17:46:00Z,1.00,99.00
2026-05-01T17:47:00Z,1.00,99.00
2026-05-01T17:48:00Z,1.00,99.00
2026-05-01T17:49:00Z,1.00,99.00
2026-05-01T17:50:00Z,1.00,99.00
2026-05-01T17:52:00Z,1.00,99.00
2026-05-01T17:53:00Z,1.00,99.00
