# event_ticker=KXATPCHALLENGERMATCH-26JUN02DAMDZU
# final_score=6-7(2) 6-4 7-5
# score_resolution=7-6 4-6 5-7
# match_winner=Damir Dzumhur
# fav_player=Miguel Damas
# dog_player=Damir Dzumhur
# kalshi_date=2026-06-02
timestamp,Miguel Damas,Damir Dzumhur
2026-06-02T10:54:00Z,28.82,64.93
2026-06-02T10:55:00Z,30.67,71.40
2026-06-02T10:56:00Z,20.53,75.11
2026-06-02T10:57:00Z,24.74,70.73
2026-06-02T10:58:00Z,23.68,75.87
2026-06-02T10:59:00Z,24.63,76.89
2026-06-02T11:00:00Z,21.49,80.50
2026-06-02T11:01:00Z,25.40,74.02
2026-06-02T11:02:00Z,32.74,68.86
2026-06-02T11:03:00Z,33.92,65.00
2026-06-02T11:04:00Z,33.90,68.80
2026-06-02T11:05:00Z,36.66,67.73
2026-06-02T11:06:00Z,30.64,69.00
2026-06-02T11:07:00Z,37.35,64.58
2026-06-02T11:08:00Z,30.83,68.92
2026-06-02T11:09:00Z,30.00,72.00
2026-06-02T11:10:00Z,29.96,71.19
2026-06-02T11:11:00Z,34.15,66.63
2026-06-02T11:12:00Z,35.13,66.67
2026-06-02T11:13:00Z,37.33,64.12
2026-06-02T11:14:00Z,35.98,64.87
2026-06-02T11:15:00Z,30.11,70.36
2026-06-02T11:16:00Z,29.10,70.24
2026-06-02T11:17:00Z,29.48,71.35
2026-06-02T11:18:00Z,25.16,71.54
2026-06-02T11:19:00Z,28.11,70.90
2026-06-02T11:20:00Z,22.69,79.44
2026-06-02T11:21:00Z,12.47,88.55
2026-06-02T11:22:00Z,12.95,86.35
2026-06-02T11:23:00Z,9.71,90.52
2026-06-02T11:24:00Z,4.86,95.63
2026-06-02T11:25:00Z,3.27,96.92
2026-06-02T11:26:00Z,4.25,96.24
2026-06-02T11:27:00Z,4.31,95.69
2026-06-02T11:28:00Z,7.77,93.68
2026-06-02T11:29:00Z,6.65,93.01
2026-06-02T11:30:00Z,10.30,93.26
2026-06-02T11:31:00Z,16.58,81.86
2026-06-02T11:32:00Z,22.70,76.83
2026-06-02T11:33:00Z,27.11,72.34
2026-06-02T11:34:00Z,27.04,73.50
2026-06-02T11:35:00Z,22.55,75.28
2026-06-02T11:36:00Z,19.49,80.49
2026-06-02T11:37:00Z,28.66,75.23
2026-06-02T11:38:00Z,40.04,62.82
2026-06-02T11:39:00Z,32.37,70.48
2026-06-02T11:40:00Z,28.86,70.77
2026-06-02T11:41:00Z,27.08,72.24
2026-06-02T11:42:00Z,30.56,70.15
2026-06-02T11:43:00Z,24.44,81.74
2026-06-02T11:44:00Z,8.33,91.68
2026-06-02T11:45:00Z,17.81,84.18
2026-06-02T11:46:00Z,27.91,76.30
2026-06-02T11:47:00Z,15.13,85.62
2026-06-02T11:48:00Z,15.00,84.91
2026-06-02T11:49:00Z,6.82,97.06
2026-06-02T11:50:00Z,1.00,99.00
2026-06-02T11:51:00Z,1.00,99.00
2026-06-02T11:52:00Z,1.00,99.00
