# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T12:46:00Z,72.00,29.00
2026-05-09T12:47:00Z,72.00,29.00
2026-05-09T12:48:00Z,72.00,29.00
2026-05-09T12:50:00Z,72.00,29.00
2026-05-09T12:51:00Z,72.00,29.00
2026-05-09T12:52:00Z,72.00,29.00
2026-05-09T12:55:00Z,72.00,29.00
2026-05-09T12:57:00Z,72.00,29.00
2026-05-09T12:58:00Z,71.10,29.00
2026-05-09T12:59:00Z,72.00,29.00
2026-05-09T13:00:00Z,72.00,29.00
2026-05-09T13:01:00Z,72.00,29.00
2026-05-09T13:02:00Z,72.00,29.00
2026-05-09T13:03:00Z,72.00,29.00
2026-05-09T13:04:00Z,72.00,29.00
2026-05-09T13:05:00Z,72.00,29.00
2026-05-09T13:07:00Z,72.00,29.00
2026-05-09T13:09:00Z,72.00,29.00
2026-05-09T13:11:00Z,72.00,29.00
2026-05-09T13:14:00Z,72.00,29.00
2026-05-09T13:15:00Z,72.00,29.00
2026-05-09T13:16:00Z,71.00,29.00
2026-05-09T13:17:00Z,71.00,29.00
2026-05-09T13:20:00Z,71.00,29.00
2026-05-09T13:21:00Z,72.89,29.00
2026-05-09T13:22:00Z,72.81,29.00
2026-05-09T13:23:00Z,73.00,29.00
2026-05-09T13:24:00Z,73.00,29.00
2026-05-09T13:26:00Z,73.00,29.00
2026-05-09T13:27:00Z,72.84,29.00
2026-05-09T13:29:00Z,73.00,29.00
2026-05-09T13:30:00Z,73.00,29.00
2026-05-09T13:32:00Z,72.00,29.00
2026-05-09T13:33:00Z,72.00,29.00
2026-05-09T13:34:00Z,72.00,29.00
2026-05-09T13:36:00Z,72.00,29.00
2026-05-09T13:38:00Z,72.00,29.00
2026-05-09T13:39:00Z,72.80,29.00
2026-05-09T13:41:00Z,72.80,29.00
2026-05-09T13:44:00Z,72.00,29.00
2026-05-09T13:45:00Z,73.00,29.00
2026-05-09T13:48:00Z,73.00,29.00
2026-05-09T13:49:00Z,73.00,29.00
2026-05-09T13:51:00Z,73.00,28.00
2026-05-09T13:52:00Z,73.25,28.00
2026-05-09T13:53:00Z,73.25,29.00
2026-05-09T13:54:00Z,73.00,28.00
2026-05-09T13:56:00Z,73.00,29.00
2026-05-09T14:00:00Z,73.00,29.00
2026-05-09T14:01:00Z,73.00,29.00
2026-05-09T14:02:00Z,73.00,29.00
2026-05-09T14:03:00Z,73.00,29.00
2026-05-09T14:04:00Z,73.00,29.00
2026-05-09T14:07:00Z,72.37,29.00
2026-05-09T14:08:00Z,72.37,29.00
2026-05-09T14:09:00Z,73.00,28.00
2026-05-09T14:10:00Z,72.12,28.00
2026-05-09T14:13:00Z,72.12,29.00
2026-05-09T14:15:00Z,73.00,29.00
2026-05-09T14:16:00Z,73.00,29.00
2026-05-09T14:18:00Z,73.00,29.00
2026-05-09T14:19:00Z,73.00,29.00
2026-05-09T14:20:00Z,73.00,29.00
2026-05-09T14:21:00Z,73.00,29.00
2026-05-09T14:25:00Z,73.00,29.00
2026-05-09T14:27:00Z,73.00,29.00
