# event_ticker=KXATPMATCH-26APR24CERHAN
# final_score=6-1 7-5
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Yannick Hanfmann
# kalshi_date=2026-04-24
timestamp,Francisco Cerundolo,Yannick Hanfmann
2026-04-25T07:59:00Z,72.00,30.00
2026-04-25T08:10:00Z,72.00,30.00
2026-04-25T08:11:00Z,72.00,30.00
2026-04-25T08:14:00Z,72.00,30.00
2026-04-25T08:15:00Z,72.00,30.00
2026-04-25T08:17:00Z,72.00,30.00
2026-04-25T08:18:00Z,72.00,30.48
2026-04-25T08:19:00Z,72.00,31.00
2026-04-25T08:20:00Z,72.00,31.00
2026-04-25T08:24:00Z,72.00,31.00
2026-04-25T08:25:00Z,72.00,30.00
2026-04-25T08:27:00Z,72.00,30.00
2026-04-25T08:28:00Z,72.00,30.00
2026-04-25T08:29:00Z,72.00,30.00
2026-04-25T08:34:00Z,72.00,30.00
2026-04-25T08:36:00Z,72.00,30.00
2026-04-25T08:38:00Z,72.00,30.00
2026-04-25T08:39:00Z,72.00,30.00
2026-04-25T08:40:00Z,72.00,30.00
2026-04-25T08:42:00Z,72.00,30.00
2026-04-25T08:45:00Z,72.00,30.00
2026-04-25T08:46:00Z,72.00,30.00
2026-04-25T08:49:00Z,72.00,30.00
2026-04-25T08:50:00Z,72.00,30.00
2026-04-25T08:51:00Z,72.00,30.00
2026-04-25T08:55:00Z,72.00,30.00
2026-04-25T08:56:00Z,72.00,30.00
2026-04-25T08:58:00Z,72.00,30.00
2026-04-25T09:00:00Z,72.00,30.00
2026-04-25T09:02:00Z,72.00,30.00
2026-04-25T09:03:00Z,72.00,30.00
2026-04-25T09:04:00Z,72.00,30.00
2026-04-25T09:06:00Z,72.00,30.00
2026-04-25T09:07:00Z,72.00,30.00
2026-04-25T09:08:00Z,72.00,30.00
2026-04-25T09:09:00Z,72.00,30.00
2026-04-25T09:10:00Z,72.00,30.00
2026-04-25T09:11:00Z,72.00,30.00
2026-04-25T09:12:00Z,72.00,30.00
2026-04-25T09:13:00Z,72.00,30.00
2026-04-25T09:14:00Z,73.71,30.00
2026-04-25T09:15:00Z,71.14,30.96
2026-04-25T09:16:00Z,73.00,31.21
2026-04-25T09:17:00Z,73.00,28.22
2026-04-25T09:18:00Z,75.15,27.49
2026-04-25T09:19:00Z,78.93,21.86
2026-04-25T09:20:00Z,80.80,17.92
2026-04-25T09:21:00Z,82.00,17.00
2026-04-25T09:22:00Z,83.29,21.86
2026-04-25T09:23:00Z,80.98,21.57
2026-04-25T09:24:00Z,80.00,21.57
2026-04-25T09:25:00Z,82.50,17.62
2026-04-25T09:26:00Z,84.40,16.00
2026-04-25T09:27:00Z,85.00,16.00
2026-04-25T09:28:00Z,84.65,16.00
2026-04-25T09:29:00Z,84.00,17.00
2026-04-25T09:30:00Z,83.31,17.00
2026-04-25T09:31:00Z,85.24,17.00
2026-04-25T09:32:00Z,85.00,13.73
2026-04-25T09:33:00Z,84.35,15.89
2026-04-25T09:34:00Z,81.50,17.09
2026-04-25T09:35:00Z,82.85,17.09
2026-04-25T09:36:00Z,82.63,18.00
2026-04-25T09:37:00Z,84.02,18.00
2026-04-25T09:38:00Z,84.00,17.00
2026-04-25T09:39:00Z,84.00,17.00
2026-04-25T09:40:00Z,85.00,17.00
2026-04-25T09:41:00Z,84.05,17.00
2026-04-25T09:42:00Z,84.17,17.00
2026-04-25T09:43:00Z,84.00,16.00
2026-04-25T09:44:00Z,84.56,16.43
2026-04-25T09:45:00Z,87.86,12.65
2026-04-25T09:46:00Z,88.81,11.24
2026-04-25T09:47:00Z,89.00,12.47
2026-04-25T09:49:00Z,89.00,11.00
2026-04-25T09:50:00Z,89.00,11.00
2026-04-25T09:51:00Z,89.67,11.00
2026-04-25T09:52:00Z,90.00,9.80
2026-04-25T09:53:00Z,90.73,8.00
2026-04-25T09:54:00Z,91.63,7.96
2026-04-25T09:55:00Z,89.79,10.17
2026-04-25T09:56:00Z,88.91,11.50
2026-04-25T09:57:00Z,89.70,13.58
2026-04-25T09:58:00Z,86.03,14.97
2026-04-25T09:59:00Z,86.13,14.14
2026-04-25T10:00:00Z,88.32,11.94
2026-04-25T10:01:00Z,89.04,11.85
2026-04-25T10:02:00Z,89.86,11.80
2026-04-25T10:03:00Z,90.23,11.00
2026-04-25T10:04:00Z,88.28,13.00
2026-04-25T10:05:00Z,89.00,13.00
2026-04-25T10:06:00Z,93.67,5.56
2026-04-25T10:07:00Z,96.00,3.27
2026-04-25T10:08:00Z,95.74,4.00
2026-04-25T10:09:00Z,95.89,5.17
2026-04-25T10:10:00Z,91.80,8.95
