# event_ticker=KXATPCHALLENGERMATCH-26APR09NIKHEI
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Gustavo Heide
# fav_player=Johan Nikles
# dog_player=Gustavo Heide
# kalshi_date=2026-04-09
timestamp,Johan Nikles,Gustavo Heide
2026-04-09T21:24:00Z,10.82,89.22
2026-04-09T21:25:00Z,8.80,92.54
2026-04-09T21:26:00Z,6.72,94.09
2026-04-09T21:27:00Z,7.51,93.13
2026-04-09T21:28:00Z,7.01,94.27
2026-04-09T21:29:00Z,6.11,94.12
2026-04-09T21:30:00Z,5.97,94.94
2026-04-09T21:31:00Z,5.86,94.99
2026-04-09T21:32:00Z,5.44,94.45
2026-04-09T21:33:00Z,5.94,95.03
2026-04-09T21:34:00Z,5.91,94.97
2026-04-09T21:35:00Z,6.28,95.00
2026-04-09T21:36:00Z,6.76,94.03
2026-04-09T21:37:00Z,6.13,95.60
2026-04-09T21:38:00Z,6.12,94.10
2026-04-09T21:39:00Z,7.97,93.00
2026-04-09T21:40:00Z,7.10,93.01
2026-04-09T21:41:00Z,5.36,94.77
2026-04-09T21:42:00Z,6.00,95.01
2026-04-09T21:43:00Z,5.94,95.18
2026-04-09T21:44:00Z,4.99,95.03
2026-04-09T21:45:00Z,4.89,95.96
2026-04-09T21:46:00Z,4.70,95.99
2026-04-09T21:47:00Z,4.95,95.87
2026-04-09T21:48:00Z,4.86,95.99
2026-04-09T21:49:00Z,4.55,96.00
2026-04-09T21:50:00Z,4.72,95.85
2026-04-09T21:51:00Z,5.10,95.77
2026-04-09T21:52:00Z,6.03,94.00
2026-04-09T21:53:00Z,6.00,94.87
2026-04-09T21:54:00Z,4.05,95.74
2026-04-09T21:55:00Z,3.06,96.99
2026-04-09T21:56:00Z,3.90,96.99
2026-04-09T21:57:00Z,4.03,96.00
2026-04-09T21:58:00Z,3.21,96.55
2026-04-09T21:59:00Z,2.66,97.35
2026-04-09T22:00:00Z,3.50,96.26
2026-04-09T22:01:00Z,3.67,97.00
2026-04-09T22:02:00Z,5.00,96.01
2026-04-09T22:03:00Z,5.03,95.88
2026-04-09T22:04:00Z,5.77,94.68
2026-04-09T22:05:00Z,5.90,94.20
2026-04-09T22:06:00Z,4.29,96.19
2026-04-09T22:07:00Z,3.97,96.97
2026-04-09T22:08:00Z,3.94,96.88
2026-04-09T22:09:00Z,4.23,96.74
2026-04-09T22:10:00Z,5.28,95.00
2026-04-09T22:11:00Z,5.43,95.38
2026-04-09T22:12:00Z,4.56,95.47
2026-04-09T22:13:00Z,4.21,96.97
