# event_ticker=KXATPMATCH-26MAR10HIJNOR
# final_score=6-4 6-2
# match_winner=Cameron Norrie
# fav_player=Cameron Norrie
# dog_player=Rinky Hijikata
# kalshi_date=2026-03-10
timestamp,Cameron Norrie,Rinky Hijikata
2026-03-11T17:37:00Z,74.00,28.00
2026-03-11T17:38:00Z,74.00,28.00
2026-03-11T17:39:00Z,74.00,28.00
2026-03-11T17:40:00Z,74.00,28.00
2026-03-11T17:41:00Z,73.00,28.00
2026-03-11T17:42:00Z,73.00,28.00
2026-03-11T17:43:00Z,73.00,28.00
2026-03-11T17:44:00Z,73.00,28.00
2026-03-11T17:45:00Z,73.00,28.00
2026-03-11T17:47:00Z,73.00,28.00
2026-03-11T17:48:00Z,73.00,28.00
2026-03-11T17:49:00Z,73.00,28.00
2026-03-11T17:50:00Z,73.00,28.00
2026-03-11T17:51:00Z,74.00,28.00
2026-03-11T17:52:00Z,74.00,27.43
2026-03-11T17:53:00Z,74.00,27.00
2026-03-11T17:54:00Z,74.00,27.00
2026-03-11T17:55:00Z,74.00,27.00
2026-03-11T17:56:00Z,74.00,27.00
2026-03-11T17:57:00Z,74.00,27.00
2026-03-11T17:58:00Z,74.00,27.00
2026-03-11T17:59:00Z,74.00,27.00
2026-03-11T18:00:00Z,74.00,27.00
2026-03-11T18:01:00Z,74.00,27.01
2026-03-11T18:02:00Z,74.00,28.00
2026-03-11T18:03:00Z,73.94,28.00
2026-03-11T18:04:00Z,73.53,28.00
2026-03-11T18:05:00Z,74.00,28.00
2026-03-11T18:06:00Z,74.00,28.00
2026-03-11T18:07:00Z,73.97,28.00
2026-03-11T18:08:00Z,74.00,28.93
2026-03-11T18:09:00Z,74.00,29.00
2026-03-11T18:10:00Z,73.39,29.31
2026-03-11T18:11:00Z,73.00,29.65
2026-03-11T18:12:00Z,74.29,27.49
2026-03-11T18:13:00Z,80.75,19.57
2026-03-11T18:14:00Z,81.84,18.27
2026-03-11T18:15:00Z,82.97,18.85
2026-03-11T18:16:00Z,82.79,21.30
2026-03-11T18:17:00Z,80.98,19.35
2026-03-11T18:18:00Z,83.78,18.94
2026-03-11T18:19:00Z,82.05,20.94
2026-03-11T18:20:00Z,81.41,21.87
2026-03-11T18:21:00Z,83.01,19.16
2026-03-11T18:22:00Z,84.41,17.81
2026-03-11T18:23:00Z,83.06,18.21
