# event_ticker=KXATPMATCH-26MAY08BORJOD
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Rafael Jodar
# fav_player=Nuno Borges
# dog_player=Rafael Jodar
# kalshi_date=2026-05-08
timestamp,Nuno Borges,Rafael Jodar
2026-05-08T06:05:00Z,21.00,81.00
2026-05-08T06:07:00Z,21.00,81.00
2026-05-08T06:09:00Z,21.00,81.00
2026-05-08T06:10:00Z,21.00,81.00
2026-05-08T06:11:00Z,21.00,81.00
2026-05-08T06:14:00Z,21.00,81.00
2026-05-08T06:16:00Z,21.00,81.00
2026-05-08T06:19:00Z,21.00,81.00
2026-05-08T06:20:00Z,21.00,81.00
2026-05-08T06:24:00Z,21.00,81.00
2026-05-08T06:27:00Z,21.00,81.00
2026-05-08T06:28:00Z,21.00,80.00
2026-05-08T06:29:00Z,21.00,80.00
2026-05-08T06:31:00Z,21.00,81.00
2026-05-08T06:33:00Z,21.00,81.00
2026-05-08T06:35:00Z,21.00,81.00
2026-05-08T06:39:00Z,21.00,81.00
2026-05-08T06:41:00Z,21.00,81.00
2026-05-08T06:45:00Z,21.00,81.00
2026-05-08T06:48:00Z,21.00,81.00
2026-05-08T06:49:00Z,21.00,81.00
2026-05-08T06:50:00Z,21.00,81.00
2026-05-08T06:51:00Z,21.00,81.00
2026-05-08T06:53:00Z,21.00,81.00
2026-05-08T06:56:00Z,21.00,81.00
2026-05-08T06:57:00Z,21.00,80.00
2026-05-08T06:58:00Z,21.00,81.00
2026-05-08T07:00:00Z,21.00,81.00
2026-05-08T07:05:00Z,21.00,81.00
2026-05-08T07:08:00Z,21.00,81.00
2026-05-08T07:11:00Z,21.00,81.00
2026-05-08T07:12:00Z,21.00,81.00
2026-05-08T07:16:00Z,21.00,81.00
2026-05-08T07:19:00Z,21.00,81.00
2026-05-08T07:21:00Z,21.00,81.00
2026-05-08T07:27:00Z,21.00,81.00
2026-05-08T07:30:00Z,21.00,81.00
2026-05-08T07:34:00Z,21.00,81.00
2026-05-08T07:35:00Z,21.00,81.00
2026-05-08T07:39:00Z,21.00,81.00
2026-05-08T07:40:00Z,21.00,81.00
2026-05-08T07:42:00Z,21.00,81.00
2026-05-08T07:44:00Z,21.00,81.00
2026-05-08T07:46:00Z,21.00,81.00
2026-05-08T07:48:00Z,21.00,81.00
2026-05-08T07:49:00Z,21.00,82.00
2026-05-08T07:50:00Z,21.00,81.00
2026-05-08T07:55:00Z,21.00,82.00
2026-05-08T07:56:00Z,21.00,82.00
2026-05-08T07:58:00Z,21.00,82.00
2026-05-08T08:02:00Z,21.00,82.00
2026-05-08T08:03:00Z,21.00,82.00
2026-05-08T08:06:00Z,21.00,81.92
2026-05-08T08:07:00Z,20.58,82.00
2026-05-08T08:11:00Z,20.00,82.00
2026-05-08T08:12:00Z,21.00,82.00
2026-05-08T08:13:00Z,21.00,82.00
2026-05-08T08:14:00Z,21.00,82.00
2026-05-08T08:16:00Z,21.00,82.00
2026-05-08T08:17:00Z,21.00,82.00
2026-05-08T08:20:00Z,21.00,82.00
2026-05-08T08:22:00Z,21.00,82.00
2026-05-08T08:27:00Z,20.00,82.00
2026-05-08T08:28:00Z,20.00,82.00
2026-05-08T08:32:00Z,20.00,82.00
2026-05-08T08:33:00Z,20.00,82.00
2026-05-08T08:34:00Z,20.00,81.01
2026-05-08T08:36:00Z,21.00,81.01
2026-05-08T08:37:00Z,21.00,81.00
2026-05-08T08:39:00Z,21.00,81.00
2026-05-08T08:40:00Z,21.00,81.00
2026-05-08T08:41:00Z,21.00,81.00
