# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-12T21:24:00Z,7.00,94.00
2026-03-12T21:25:00Z,7.00,94.00
2026-03-12T21:27:00Z,7.00,94.00
2026-03-12T21:29:00Z,7.00,94.00
2026-03-12T21:31:00Z,7.00,94.00
2026-03-12T21:32:00Z,7.00,94.00
2026-03-12T21:34:00Z,7.00,94.00
2026-03-12T21:35:00Z,7.00,94.00
2026-03-12T21:37:00Z,7.00,94.00
2026-03-12T21:38:00Z,7.00,94.00
2026-03-12T21:39:00Z,7.00,94.00
2026-03-12T21:40:00Z,7.00,94.00
2026-03-12T21:41:00Z,7.00,94.00
2026-03-12T21:42:00Z,7.00,94.00
2026-03-12T21:44:00Z,7.00,94.00
2026-03-12T21:45:00Z,7.00,94.00
2026-03-12T21:46:00Z,7.00,93.05
2026-03-12T21:47:00Z,7.00,94.00
2026-03-12T21:49:00Z,7.00,94.00
2026-03-12T21:50:00Z,7.00,94.00
2026-03-12T21:51:00Z,7.00,94.00
2026-03-12T21:52:00Z,7.00,94.00
2026-03-12T21:53:00Z,7.00,94.00
2026-03-12T21:54:00Z,7.00,94.00
2026-03-12T21:55:00Z,7.00,94.00
2026-03-12T21:56:00Z,7.00,94.00
2026-03-12T21:57:00Z,7.00,93.00
2026-03-12T21:58:00Z,7.00,94.00
2026-03-12T21:59:00Z,7.00,94.00
2026-03-12T22:00:00Z,7.00,94.00
2026-03-12T22:01:00Z,7.00,94.00
2026-03-12T22:02:00Z,7.00,94.00
2026-03-12T22:04:00Z,7.00,94.00
2026-03-12T22:05:00Z,7.00,94.00
2026-03-12T22:06:00Z,7.00,94.00
2026-03-12T22:07:00Z,7.00,94.00
2026-03-12T22:08:00Z,6.91,94.00
2026-03-12T22:09:00Z,7.00,94.00
2026-03-12T22:11:00Z,7.00,94.00
2026-03-12T22:12:00Z,7.00,94.00
2026-03-12T22:13:00Z,7.00,94.00
2026-03-12T22:14:00Z,7.00,94.00
2026-03-12T22:15:00Z,7.00,94.00
2026-03-12T22:16:00Z,7.00,94.00
2026-03-12T22:17:00Z,7.00,94.00
2026-03-12T22:19:00Z,7.00,94.00
2026-03-12T22:22:00Z,7.00,94.00
2026-03-12T22:23:00Z,7.00,94.00
2026-03-12T22:24:00Z,7.00,94.00
2026-03-12T22:25:00Z,6.10,93.08
2026-03-12T22:26:00Z,6.10,94.00
2026-03-12T22:27:00Z,7.00,94.00
2026-03-12T22:28:00Z,7.00,94.00
2026-03-12T22:30:00Z,7.00,94.00
2026-03-12T22:32:00Z,7.00,94.00
2026-03-12T22:33:00Z,7.00,94.00
2026-03-12T22:34:00Z,7.00,94.00
2026-03-12T22:35:00Z,7.00,94.00
2026-03-12T22:37:00Z,7.00,94.00
2026-03-12T22:39:00Z,7.00,94.00
2026-03-12T22:42:00Z,7.00,94.00
