# event_ticker=KXATPMATCH-26JAN03UGOTIE
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Learner Tien
# fav_player=Camilo Ugo Carabelli
# dog_player=Learner Tien
# kalshi_date=2026-01-03
timestamp,Camilo Ugo Carabelli,Learner Tien
2026-01-04T09:38:00Z,5.76,93.47
2026-01-04T09:39:00Z,3.59,96.71
2026-01-04T09:40:00Z,4.54,96.00
2026-01-04T09:41:00Z,6.00,96.00
2026-01-04T09:42:00Z,8.75,92.00
2026-01-04T09:43:00Z,11.53,89.65
2026-01-04T09:44:00Z,9.41,91.00
2026-01-04T09:45:00Z,8.00,91.00
2026-01-04T09:46:00Z,8.00,95.00
2026-01-04T09:47:00Z,8.00,95.00
2026-01-04T09:48:00Z,6.90,94.00
2026-01-04T09:49:00Z,7.33,92.95
2026-01-04T09:50:00Z,3.74,96.21
2026-01-04T09:51:00Z,5.35,95.00
2026-01-04T09:52:00Z,2.04,96.64
2026-01-04T09:53:00Z,5.22,98.03
2026-01-04T09:54:00Z,1.00,98.61
2026-01-04T09:55:00Z,3.38,99.00
2026-01-04T09:56:00Z,3.00,98.70
2026-01-04T09:57:00Z,2.27,99.00
2026-01-04T09:58:00Z,1.22,98.01
2026-01-04T09:59:00Z,1.01,98.00
2026-01-04T10:00:00Z,5.67,99.00
2026-01-04T10:01:00Z,5.00,98.00
2026-01-04T10:02:00Z,1.89,98.00
2026-01-04T10:03:00Z,2.06,98.86
2026-01-04T10:04:00Z,2.06,98.00
2026-01-04T10:05:00Z,2.06,98.00
2026-01-04T10:06:00Z,2.06,98.31
2026-01-04T10:07:00Z,1.00,99.00
2026-01-04T10:08:00Z,1.00,99.00
2026-01-04T10:10:00Z,1.36,98.00
2026-01-04T10:11:00Z,2.94,99.00
2026-01-04T10:12:00Z,1.12,99.00
2026-01-04T10:15:00Z,1.12,99.00
