# event_ticker=KXATPMATCH-26MAR04FONCOL
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Joao Fonseca
# fav_player=Joao Fonseca
# dog_player=Raphael Collignon
# kalshi_date=2026-03-04
timestamp,Joao Fonseca,Raphael Collignon
2026-03-05T00:21:00Z,57.00,45.00
2026-03-05T00:24:00Z,57.00,45.00
2026-03-05T00:25:00Z,57.00,45.00
2026-03-05T00:26:00Z,57.00,45.00
2026-03-05T00:27:00Z,57.00,45.00
2026-03-05T00:30:00Z,57.00,45.00
2026-03-05T00:31:00Z,57.00,43.08
2026-03-05T00:32:00Z,57.00,43.03
2026-03-05T00:33:00Z,57.00,43.03
2026-03-05T00:35:00Z,57.00,44.00
2026-03-05T00:36:00Z,57.00,44.00
2026-03-05T00:37:00Z,57.00,44.00
2026-03-05T00:38:00Z,57.00,44.00
2026-03-05T00:41:00Z,57.00,44.00
2026-03-05T00:42:00Z,57.00,44.00
2026-03-05T00:43:00Z,57.00,44.00
2026-03-05T00:45:00Z,57.00,44.00
2026-03-05T00:46:00Z,57.00,44.00
2026-03-05T00:47:00Z,56.45,44.00
2026-03-05T00:48:00Z,57.00,44.00
2026-03-05T00:51:00Z,57.00,44.00
2026-03-05T00:53:00Z,57.00,44.00
2026-03-05T00:55:00Z,57.00,44.00
2026-03-05T01:00:00Z,57.00,44.00
2026-03-05T01:02:00Z,57.00,44.00
2026-03-05T01:03:00Z,57.00,44.00
2026-03-05T01:05:00Z,57.00,44.00
2026-03-05T01:06:00Z,57.00,44.00
2026-03-05T01:09:00Z,57.00,44.00
2026-03-05T01:10:00Z,57.00,44.00
2026-03-05T01:11:00Z,57.31,44.00
2026-03-05T01:14:00Z,58.00,44.00
2026-03-05T01:15:00Z,58.00,42.00
2026-03-05T01:19:00Z,58.00,42.00
2026-03-05T01:20:00Z,58.00,42.00
2026-03-05T01:21:00Z,58.00,42.00
2026-03-05T01:22:00Z,57.00,42.00
2026-03-05T01:23:00Z,57.00,44.00
2026-03-05T01:24:00Z,57.00,44.00
2026-03-05T01:26:00Z,57.00,44.00
2026-03-05T01:30:00Z,57.00,44.00
2026-03-05T01:32:00Z,56.98,44.00
2026-03-05T01:34:00Z,57.13,44.00
2026-03-05T01:35:00Z,57.00,44.00
2026-03-05T01:36:00Z,58.00,44.00
2026-03-05T01:37:00Z,57.00,44.00
2026-03-05T01:38:00Z,57.00,44.00
2026-03-05T01:39:00Z,57.00,44.00
2026-03-05T01:40:00Z,57.00,44.00
2026-03-05T01:42:00Z,57.00,44.00
2026-03-05T01:43:00Z,57.00,44.00
2026-03-05T01:44:00Z,57.51,44.00
2026-03-05T01:47:00Z,57.00,44.00
2026-03-05T01:48:00Z,57.00,44.00
2026-03-05T01:49:00Z,56.00,44.00
2026-03-05T01:51:00Z,57.00,44.00
2026-03-05T01:52:00Z,57.00,44.00
2026-03-05T01:54:00Z,57.00,44.00
2026-03-05T01:55:00Z,57.00,44.00
2026-03-05T01:57:00Z,57.00,44.00
2026-03-05T01:59:00Z,57.00,44.00
2026-03-05T02:00:00Z,57.74,44.00
2026-03-05T02:02:00Z,57.48,44.00
2026-03-05T02:03:00Z,57.00,43.00
2026-03-05T02:04:00Z,58.00,43.00
2026-03-05T02:05:00Z,57.00,44.00
2026-03-05T02:07:00Z,57.00,44.00
2026-03-05T02:08:00Z,57.15,44.00
2026-03-05T02:09:00Z,57.92,44.00
2026-03-05T02:11:00Z,57.00,44.00
2026-03-05T02:12:00Z,57.00,44.00
2026-03-05T02:15:00Z,57.00,44.00
2026-03-05T02:16:00Z,57.00,44.00
2026-03-05T02:17:00Z,57.00,44.00
2026-03-05T02:18:00Z,57.99,44.00
2026-03-05T02:19:00Z,57.66,44.00
2026-03-05T02:20:00Z,58.74,43.00
2026-03-05T02:21:00Z,58.26,43.00
2026-03-05T02:22:00Z,59.00,43.00
2026-03-05T02:23:00Z,59.00,43.00
2026-03-05T02:25:00Z,58.12,43.00
2026-03-05T02:27:00Z,58.00,43.00
2026-03-05T02:28:00Z,58.00,43.00
2026-03-05T02:29:00Z,58.00,43.00
2026-03-05T02:30:00Z,58.00,43.00
2026-03-05T02:31:00Z,58.00,43.00
2026-03-05T02:32:00Z,58.00,44.00
2026-03-05T02:33:00Z,58.00,44.00
2026-03-05T02:34:00Z,58.04,44.00
2026-03-05T02:35:00Z,59.00,44.00
2026-03-05T02:36:00Z,59.00,43.00
2026-03-05T02:37:00Z,59.00,43.70
2026-03-05T02:38:00Z,59.00,43.70
2026-03-05T02:39:00Z,57.00,44.00
2026-03-05T02:40:00Z,57.00,42.23
2026-03-05T02:41:00Z,58.00,42.23
2026-03-05T02:42:00Z,59.00,43.00
2026-03-05T02:43:00Z,59.00,44.00
2026-03-05T02:44:00Z,59.00,44.00
2026-03-05T02:45:00Z,58.95,43.09
2026-03-05T02:46:00Z,59.23,43.09
2026-03-05T02:47:00Z,60.33,43.00
2026-03-05T02:48:00Z,60.00,43.00
2026-03-05T02:49:00Z,60.00,43.00
2026-03-05T02:50:00Z,60.00,43.00
2026-03-05T02:51:00Z,60.00,43.00
2026-03-05T02:52:00Z,60.00,43.00
2026-03-05T02:53:00Z,60.00,43.00
2026-03-05T02:54:00Z,60.00,42.29
2026-03-05T02:55:00Z,60.00,43.00
2026-03-05T02:56:00Z,59.96,42.24
2026-03-05T02:57:00Z,59.18,44.71
2026-03-05T02:58:00Z,57.38,44.18
2026-03-05T02:59:00Z,59.87,42.14
2026-03-05T03:00:00Z,63.14,38.39
2026-03-05T03:01:00Z,61.87,38.32
2026-03-05T03:02:00Z,64.08,38.16
2026-03-05T03:03:00Z,67.09,34.76
2026-03-05T03:04:00Z,63.48,38.22
2026-03-05T03:05:00Z,62.00,39.94
2026-03-05T03:06:00Z,64.20,35.48
2026-03-05T03:07:00Z,65.91,34.73
2026-03-05T03:08:00Z,66.00,35.47
2026-03-05T03:09:00Z,66.00,36.95
2026-03-05T03:10:00Z,62.39,36.00
2026-03-05T03:11:00Z,64.07,38.12
2026-03-05T03:12:00Z,67.89,32.50
2026-03-05T03:13:00Z,68.03,32.84
2026-03-05T03:14:00Z,63.49,37.18
2026-03-05T03:15:00Z,62.02,39.24
2026-03-05T03:16:00Z,65.54,36.97
2026-03-05T03:17:00Z,66.16,32.01
2026-03-05T03:18:00Z,67.00,33.00
2026-03-05T03:19:00Z,67.44,29.54
2026-03-05T03:20:00Z,68.99,32.00
2026-03-05T03:21:00Z,66.63,35.02
2026-03-05T03:22:00Z,65.80,36.20
2026-03-05T03:23:00Z,68.02,32.00
2026-03-05T03:24:00Z,65.00,35.68
2026-03-05T03:25:00Z,65.83,36.18
2026-03-05T03:26:00Z,64.91,35.00
2026-03-05T03:27:00Z,64.01,37.92
2026-03-05T03:28:00Z,62.11,38.05
2026-03-05T03:29:00Z,66.90,38.43
2026-03-05T03:30:00Z,68.00,33.00
2026-03-05T03:31:00Z,68.03,31.65
2026-03-05T03:32:00Z,70.60,27.10
2026-03-05T03:33:00Z,75.67,21.34
2026-03-05T03:34:00Z,73.19,28.62
2026-03-05T03:35:00Z,70.06,30.80
2026-03-05T03:36:00Z,71.40,26.58
2026-03-05T03:37:00Z,67.44,33.67
2026-03-05T03:38:00Z,64.70,33.84
2026-03-05T03:39:00Z,68.88,32.52
2026-03-05T03:40:00Z,69.70,30.44
2026-03-05T03:41:00Z,70.00,30.92
2026-03-05T03:42:00Z,67.21,33.82
2026-03-05T03:43:00Z,70.03,29.46
2026-03-05T03:44:00Z,72.21,30.97
2026-03-05T03:45:00Z,65.95,37.64
2026-03-05T03:46:00Z,63.84,37.80
2026-03-05T03:47:00Z,62.49,35.00
2026-03-05T03:48:00Z,54.51,53.29
2026-03-05T03:49:00Z,41.48,58.02
2026-03-05T03:50:00Z,42.24,58.69
2026-03-05T03:51:00Z,39.70,57.93
2026-03-05T03:52:00Z,53.63,47.91
2026-03-05T03:53:00Z,56.57,44.15
2026-03-05T03:54:00Z,62.14,41.74
2026-03-05T03:55:00Z,61.83,42.83
2026-03-05T03:56:00Z,60.45,41.70
2026-03-05T03:57:00Z,72.37,27.96
2026-03-05T03:58:00Z,77.32,18.20
2026-03-05T03:59:00Z,84.63,15.29
2026-03-05T04:00:00Z,84.32,16.00
2026-03-05T04:01:00Z,84.05,15.98
2026-03-05T04:02:00Z,83.66,15.69
2026-03-05T04:03:00Z,86.92,14.45
2026-03-05T04:04:00Z,82.17,19.01
2026-03-05T04:05:00Z,82.79,18.02
2026-03-05T04:06:00Z,83.15,18.06
2026-03-05T04:07:00Z,83.00,17.02
2026-03-05T04:08:00Z,86.01,15.05
2026-03-05T04:09:00Z,84.81,17.29
2026-03-05T04:10:00Z,89.57,12.88
2026-03-05T04:11:00Z,95.11,7.68
2026-03-05T04:12:00Z,92.67,8.77
2026-03-05T04:13:00Z,92.24,8.96
2026-03-05T04:14:00Z,92.75,5.27
2026-03-05T04:15:00Z,93.27,6.47
2026-03-05T04:16:00Z,94.96,5.83
2026-03-05T04:17:00Z,95.19,4.85
